dato,predicciones
ibas muy bien hasta que mencionaste a cuba y venezuela es increible que con tu preparacion uses este tipo de calumnias para enganar a la gente si lees la constitucion politica de nuestro pais aprenderas que nuestro regimen democratico y federalista  ver mas,negativo
vamos laura animo esta complicada la cuesta vale la pena intentarlo,negativo
electores jajaja,negativo
a pesar que es la ultima en las preferencias de los elecomtores sigue haciendo su luchita,negativo
jalisco merece una mujer valiente lauraharo gobernadora,positivo
vamos laura haro,negativo
bamos laura haro bas a ganar,negativo
vamos  laura haro ramirez ,negativo
voy con laura haro la esperanza de jalisco,positivo
saludosdesde villa purificacion,negativo
bla bla bla puras promesas que no cumpliras porque estas en el prian y en el prian nada es real,negativo
jacob galindo  no es el prini ningun partido son los oportunistas que ven la manera de hacer de las suyascon laura haro sera diferente,negativo
puro robar eso sera mas que diferente,negativo
la mejores propuestas son de laura haro ramirez,negativo
gracias por promover leyes para proteger la vida animal,positivo
desde caro quintero y su cartel esto a sido asi no es nuevo desde entonces su suegro cosio vidaurri ya amparaba el hampa asi que son practicas que se quedaron arraigadas y no importa quien llegue sera lo mismo pri pan mc no dieron la talla,negativo
no deje de mencionar en sus mitines que los programas sociales no desaparecenes la bandera de los guindasque si no votan por morenatodos los programas desapareceranprincipalmente los de adultos,positivo
como no entendi propones paneles solares para todos los edificios de guadalajara para que esten ellos a gusto y el pueblo que dices de esoy que propones   para la verificacion vehicular la vas a quitar o que vas a hacer porque eso es un negocio,negativo
jalisco necesita un gobierno que fortalezca y cuide el medio ambiente sin lugar a dudas laura haro es la mejor opcion con todo,positivo
vamos voto masivo morena plan c,negativo
son de caracter urgente las medidas que propones acerca de la correcta utilizacion del agua,positivo
querida laura esas propuestas estan bien pero solo despues de contar con un estado seguro de nada sirve todo lo demas si antes no pones por delante la vida y bienes de los jaliscienses asi que yo te sugeriria que primero te centres en la seguridad  ver mas,negativo
si en 90 anos no pudieron ahora resulta que tienen la varita magica,negativo
y para el pueblo que hay de beneficios,negativo
laura creo que debes ver por los ninos de calle que andan pidiendo dinero  regular los cables de television son una telarana para la imagen visual de la ciudad ni caigas en el juego de lo tradicional que ofrecen algo tangible que sea a corto plazosaludos,negativo
es neta poniendo publicidad barata clavada en arboles por av colona puro estilo del pri de los 80se ven horribles y de seguro no las quitany despues se caen y taparan alcantarillas y ya sabe lo demasasi no,negativo
la mejor candidata por la gobernatura de jalisco solo que por el partido que contiende no le favorece ojala morena mejor te haya puesto a ti que a claudia delgadillo,negativo
con el simple hecho de que detras de ti esta ramirez acuna mejor cambio mi voto,positivo
sigue adelante suerte,positivo
esperamos en villacon el vertederoque sea un centro de reciclaje y transformacion de la materiay enriquecer nuestro s campos crear con esto trabajo para jovenes y mujeres,positivo
me gusta la ciudad x sus parques donde estar en familia,negativo
los mismos que privatizaron el agua en queretaro y en aguascalientes y se las dieron al sector privado hablan de cuidar el agua,negativo
vamos adelante lic voto por usted laura haro,positivo
muy bienvamos contigo,negativo
pues en el debate fue la que mas propuso y propuestas que se pueden hacer no suenos utopicos  a mi me hizo repensar mi voto voto pensante no por dejarse llevar por las masas nada de votos masivos votos pensantes,positivo
por eso existe parques y jardines lastima que solo ponen aviadores como trabajadores,negativo
muy vien narriba laura tu ves a ganar tienes mi voto,negativo
esa del rio santiago el lo que an dicho todos los candidatos a gobernador y nomas nunca hacen nada por ese rio tan grande e importante,negativo
claro que si proxima gobernadora desde sayula buscare el voto de mi familia amigos y ciudadano de mi municipio para que usted se  gobernadora de jalisco saludos,positivo
buenisima propuesta pero no cumplen nada,negativo
 sigue adelante,negativo
excelentes propuestas  el tema del rio urgente para ocotlan ,positivo
eso si me gusta  viva claudia chambun,negativo
lo unico que pedimos es una ciudad segura un barrio tranquilo y prosperidad mejores salarios y oportunidades de crecimiento apoyo para poner mi empresa,negativo
ya tuvieron su oportunidad y no hicieron nada o sea que les hace pensar que esta vez sera diferente o como convencer al electorado yo como muchos creemos que son mas  de lo mismo,negativo
estaba buscando por quien votar y ya encontre,negativo
un jalisco verde  la gobernadora mas ambientalista,negativo
es todo candidatavamos contigo laura,negativo
gracias laura por sus propuestas muy positivas  feliz tarde ,positivo
hola mis respetos a la lic haro mujeron preparada honesta e inteligente usted sera gobernadora   viva laura haro viva xochitl galvez viva el pan y vivan los ciudadanos libres,positivo
el distrito 17 con laura hasta la victoria,positivo
en estas elecciones ire te apoyo laura mi voto es para te apoyo laura hasta la victoria,positivo
mi voto para ti laura si  amas la naturaleza eres agradecida eso habla que eres alguien que podra con todo en jalisco,negativo
nique coalicion y corazon  asi se puso xochil porque  lesda verguensa desir pan  junto con el pri y prd como quiere  confundir son los mismos y estos 5 puntos ya estan planteagos desde cuando en las propuestas del presidente y que  ustedes no quisieron ver mas,negativo
por favor una ley que multe a quienes tiren basura por favor  tenemos que educarnos es desagradable ver carreteras y calles sucias,negativo
hola laura y a los productores de leche deberian apoyar este sector tan potencial y productivo,positivo
laurita si la traicion de los gobiernos vienen de los priistas y panistas lo bueno que todos se creen mejores que los vecinos se ve la paja en el ojo ajeno y la vigota del propio no pero bueno buscan su lugar para continuar chingando al pueblo de mexic ver mas,negativo
como prometen y prometen pero nunca cumplen nada y ya estamos asta la madre de sus pinches mentiras ya sea pri pan o el pinche partido que sea,negativo
las mejores propuestas,negativo
los paneles solares de 50 mil pesos comprados al amigo del amigo a 250 mil pesos sera asi verdad,negativo
si da miedo y mas cuando ya nos toco,negativo
lucy santa cruz a dejar el miedo y seguir positivos con lauraharogobernadora  ver mas,negativo
la esperanza de un jalisco seguro eres tu laura haro ramirez,negativo
estamos contigo laura haro ramirez  proxima gobernadora de jalisco    ,negativo
yo nunca vi al pri al pan o al prd resolver jajajaja ya fueron muchos anos y nada no fuimos potencia mundial en sus administraciones al contrario les recuerdo asalinas de gortari   devaluacionzedillo  fobaproa ver mas,negativo
si da miedo y mas cuando ya nos toco,negativo
lucy santa cruz a dejar el miedo y seguir positivos con lauraharogobernadora  ver mas,negativo
la esperanza de un jalisco seguro eres tu laura haro ramirez,negativo
aumente el salario a los policias estatales por favor que desde que fue gobernador francisco ramirez acuna no les han aumentado el salario y desde entonces los gobiernos han tenido una gran deuda con sus policias,negativo
arturo tinoco tabares es una de las prioridades de laura y xochitl homologar el salario a los policias,positivo
eso es verdad solo pasan sexenios y trienios y lo unico que cambia son las cuentas bancarias de los politicos que aumentan algunos digitos mas,negativo
no te conocia y no quiero hacerlo y sabes porque porque eres igualita a la kenia lopez robaran y por supuesto que tu no me representaras ve buscando otro trabajo porque no seras nuestra gobernadora fuera de jalisco todos los prianistas y los emecista ver mas,negativo
yolanda cisneros cambio  con morena,negativo
de donde saliste si no conoces los problemas que tiene jalisco la policia estatal  no confiamos estamos mal,negativo
esta asi gracias a que les hace falta huevos y hacer las cosas correctas y tener representantes por lo menos que sepan lo que son servidores publicos ayudar al projimo y dar estudio y preparacion a todos de calidad,positivo
todo mi apoyo para morena,positivo
el pri deberia desaparecer ya robo mucho vendio a extranjeros los bienes de la nacion el pan con una refineria de una barda hospitales fantasma etc,negativo
orgullomexicano                                                                es un placer estar con la 4t   nosotros los mexicanos ya sabemos por quien iremos este 2024 seis de seis con morenacopia y pega ver mas,positivo
alfredo fierros nosotros habla por ti nada mas no metas a los que no queremos y somos millones,negativo
alfredo fierros todos los que votamos por amlo seguiremos votando 4t  ganamos por que ganamos,positivo
pero que los policias de elite por inteligencia detengan a los delincuentes antes de cometer los crimenes no solo a colocar los listones amarillos yo resguardar  los indicios para forenses lo que ha estado haciendo la sedena y guardia nacional no  ver mas,negativo
no solo jalisco esta asi de inseguro tambien todo el pais sea cual sea el partido,negativo
aja y de donde tendras el dinero porque todo eso cuesta prometer es fasil cumplir es otra cosa,negativo
 de los impuestos ,negativo
 pues yo creo que la prioridad es salud seguridad y educacion asi como ay dinero para regalar y claro que si abra siempre y cuando no hagan obras mal echas y de baja calidad y  plagadas de co ver mas,negativo
mireya rivera,negativo
 ayuda mucho que les regrese los fondos para las policias que el kks les quito,positivo
vamos laura eres la indicada para jalisco,negativo
nadie ase nada puras promesas voto es el que  buscan echando  puras mentiras,negativo
contigo gobernadora laura haro ramirez sinmananeras,negativo
muchas gracias pero el pan en seguridad ha sido lo peor ya no les creemos nada ya mejor vallanse,negativo
yaaaaa todo es puro cuentolo mismo dicen todos los candidatos en campanay ninguno ha cumplidosolo quieren el voto y ya despues ni te conocencierto o falso por lo pronto les digo yo tengo 61 anos y desde que tengo uso de razon es la misma cantalet ver mas,negativo
jose guadalupe yanez cervantds  solo quieren el voto para adegurarse otros 3 o 6 anos de sueldo,negativo
ramiro alvarado claro amigo a poco los cree tontos ,negativo
ella si sabe lo que el estado necesita no son ocurrencia vamos contigo laura haro,positivo
angeles gonzalez si sabe lo que el estado necesita el problema es que no lo va a aser  ni ella ni el que se quede tristemente esa es la realidad,negativo
angeles gonzalez si gracias al espurio borolas calderon que armo a mas no poder a los carteles en todo mexico,positivo
una pregunta y por que no lo icieron antes gobernaron como 80 anos y ese desastre ustedes lo dejaron,negativo
que raro que no te quejaste cuando mataron a aristoteles ni a nivel estatal ni federal verguenza,negativo
mucho trabajo xogalves  seguridad prioridad num uno,negativo
esta claro que ustedes no pueden con la delincuencia avolar,negativo
en los debates has sido la mas congruente centrada y realistami voto por laura haro ramirez ,negativo
animo candidata es la mejor para jalisco ,positivo
porque no culpas al pelon de la inseguridad,negativo
el pri esta rip,negativo
 yo creo que no  el pri nunca se destruye  solo se transforma  ahora es de otro color y con otras siglas morena,negativo
 no es de creer es de pensar la propaganda desesperada afirma otra cosa,negativo
 asi es el viejo pri es morena y el nuevo pri esta  desasolvado un nuevo pri con gente de verdad,negativo
todos ahorita con puras promesas de campana,negativo
jose guadalupe yanez cervantds pues senor tiene que votar por uno pero por favor con morena no eso no es nada bueno,negativo
mireya rivera  asi es morena no le conviene al pais,negativo
puras mentiras siempre lo mismo se venden los policias ya tenemos miedo de denunciar por que luego luego se corre el chisme y la gente teme por su vida,negativo
pero movimiento ciudadano tiene otros datos el grandioso primer lugar de inseguridad a nivel nacionalgastos excesivos,negativo
voy contigo laura haro la esperanza de jalisco ay que votar con todos tus votos,positivo
suenan bonitas sus propuestas pero en jalisco ha brillado por su ausencia la mano federal,negativo
vamos laura haro si se puede,negativo
yo con laura,negativo
la mejor laura haro jalisco despierta,positivo
vamos unidos con fuerza y corazon por un estado seguro con laura haro ramirez a jalisco le va mejor,positivo
desde q gobernaba el prian haa existido eso y asta ahora se dan cuanta no mamen,negativo
bartman guillen no no nos dimos cuenta asta hoy la prueba es que no les dimos nuestro voto porque pensamos mejorar y estamos peor yo totalmente arrepentida voy por la cualicion  tiene mi voto,negativo
justicia para quienes los delincuentes salen a las horas de que los agarran la gente que roba un bolillo para llevar de comer a sus familias permanecen en prision bastantes anos crear grupos de seguridad para que sean ellos los que por ordenes dearr ver mas,negativo
oye pero si los delincuentes son ustedes  ahi esta calderon escondido en espana  garcia luna  en usa   y  el desgobernador  panista de guanajuato    ,negativo
lo que no deberia de aver son chapulines,negativo
pues lastima que eres del pri y el pan suerte para la proxima  por el momento me quedo con morena y la 4t,positivo
chris delgadillo vota por la candidata no por el partido,negativo
paco real correcto  mucha gente  se deja llevar por los colores o por lo que hicieron  otras  personas  atras tiempo  lo que cuenta es la persona lo preparadoque este y las propuestas  ojala  y las cumplan,positivo
eso esta desde que el pan estaba en el poder porque no se les ocurrio antes  puras patadas de ahogado  ya no allan como,negativo
caramba con esos pensamientos tontos negativos los debate son para conocer a los candidatos y seriamente cuales son los corruptos y asi ver quien es el que gobernar y laura haro es la unica que no tiene nada que la manche asta el triunfo lider,negativo
la estatal es la que los levanta y los entrega mejor que desaparezca la estatal asi como quitaron la policia federal,negativo
pero la delincuencia y desaparecidos  tienen aaaannoos  desde que gobernaban los de tu partido ,negativo
laura gobernadora,negativo
la delincuencia organizada son los mismos politicos,negativo
estamos contigo la proxima gobernadora laura haro ramirez fuera mc,positivo
saquen alos policias municipales son los mismos,negativo
en todo el pais,negativo
lo que quieren recuperar es el poder  para enriquecerse como lo hacian  cuando gobernaron  si hubiesen gobernado bien no hubieran perdido,negativo
cuando aya un gobierno q combata a los grupos criminales podriamos creer pero todos puras promesas puros arreglos x q les faltan  solo les interesa el dinero,negativo
la delincuencia organizada esta con ustedes y con latinus,negativo
jajajaja saves que partidos dejaron ese desmadre o ya se te olvido con la colota que tienen mejor empiesen atrabajar de verdad porque estan cabando su perdicion como politicos el pueblo ya lo sabe con mentiras y sinverguensas asi sigan para que ya desa ver mas,negativo
laura es la mejor y con ella nuestro estado va a ser mejor,negativo
eres la mejor,negativo
los polesias municipales son alcones del crimen,negativo
la ultima linea en el discurso no era necesaria mal ahi se deberian de enfocar solo en tirarle a mc,negativo
y de ke te ba aserbir si el poder judicial los va a liberar no te aguas ke no sabes,negativo
si se puede,negativo
si me gustaria que cada jalisiense mirara mis el debate y propuestas y de ahy basarse quien puede ser mejor gobernante yo creo que el que tengo o ka que tenga menos cola esa puede ser la mejor  independiente mente del partido que sea  esa es mi opini ver mas,negativo
la policia esta coludida con el crimen y no hacen nada quien te hace creer que tu vas a poder,negativo
lo k cae mal k hablan como si todo lo fuera tan facil i lo malo es k no cumplen,negativo
las mismas promesas de siempre y de todos los candidatos sigan creyendo que les creemos,negativo
pero el decir es facil promesas de campana y cuando llegan al puesto presidencial se olvidan de muchas cosas y de las necesidades del pueblo los precios suben y los salarios no y varias empresas le quitan las prestaciones a los trabajadores impunemente ver mas,negativo
mas bien para que nos ataquen y nos robenplantean drogas en los carros asi como lo hacian en teocal los de la fuerza unica,negativo
si los estatales son los mas corruptos y rateros,negativo
enrique alfaro sabe donde estan todas las fosas  clandestinas ,positivo
tenemos que sacar alos jueses corruptos,negativo
no xq el prian asi dejo todo,negativo
todos estos candidatos no dan 1,negativo
para aser le frente ala inseguridad tenemos k quitar alos priistas y panistas k son los que forman la inseguridad,negativo
se quede quuen se quede nada cambiara por que lo que pasa no es el mal gobierno el gran problema que tenemos  se a perdido el temor al creador no ay goviernos que valla acamviar este mal,negativo
vamos 4t ,negativo
voy contigo laura hojala te acuerdes de mi despues animo,positivo
en jalisco va a ganar claudia,negativo
s e oye muy bonito para ser verdad mas parece propaganda de candidata que no va a cumplir,negativo
siempre dicen lo mismo y nunca cumplen en fin prillistas,negativo
jajaja tu si vas a poder con la delincuencia,negativo
laura libertad justicia verdadbasta de mentiras necesitamos gente como tu que defienda las causas de los mas vulnerables fiat,positivo
3er lugar,negativo
los corruptos hablando de corrupcion sinverguenzas ponganse a trabajar,negativo
vamos candidata con mas enjundia y llegamos ,negativo
queremos policias onestos no ratero llanosavemos sinos cuydamos de los rateros  con placas,negativo
voto masivo por morena puras mentiras y promesas,negativo
te escuchas como el pri y el pan el prd y  la lela telles y la caballona  y cochi puras mentiras,negativo
la fuerza unica nunca sirvio bien como termino,negativo
deberias empezar por decir quien esta gobernando actualmente y no tratar de culpar al gobierno federal porque el verdadero culpable es el gobernador de cada estado,negativo
ellos son,negativo
animo laura estamos  con tigo,positivo
pero la policia estatal trabaja para mana ellos se pasean y las camionetas de la mana por un lado y no les dicen nada en jalisco circulan cientos de vehiculos robados sin que madie les diga nada,negativo
animo laura,positivo
mira mamel,negativo
con todo exito en estas elecciones,negativo
olvidalo la guardia nacional es suficiente ojala quedaras al mando haber si es cierto,negativo
es una propuesta utopica mejor quiten la verificacion meramente recaudatoria,negativo
los nuevos agrupamientos tambien son delincuentes,negativo
y va a seguir asi,negativo
no creo pura farza promesas para el voto,positivo
ni tu ni nadien podran con eso no mientan como lesgusta enganar,negativo
yo soy morena y morena no  votaremos por prian y asociados,negativo
no pueden estan todos revuelto criminales y yhoberno,negativo
menciona un cartel,negativo
no creo que sea facil como estar hablando pero te apoyo soy municipal,negativo
laura yo te apoyo,positivo
vamos laura vamos a ganar,negativo
la mejor opcion laura haro,positivo
y  x ke no te pones a trabajar,negativo
viva la 4 t,negativo
caminamos juntos a la 4t,positivo
en gto tanvien es pan,negativo
eso jamas lo va parar ningun partido que no sean mentirosos,positivo
no creo no pues no,negativo
muy cierto,negativo
no te comprometas eso dicen todos yo te aseguro que no cumples,negativo
si les creciera la nariz  como a pinocho por cada mentira a quien le creceria  mas,negativo
yo con laurel,negativo
experta en hacer promesas   pero porque no lo hisieron  en cien anos que han gobernador,positivo
ymorena ygual qetodos,negativo
que mentiras,negativo
ese mismo discurso dieron en celaya para continuar gobernando el pan y esta peor cada dia secuestros homicidios extorsiones robos a plena luz del dia,negativo
porque no lo hisieron  en ochenta anos y son ustedes junto con el pan  no sean habladores ,negativo
rosario pardo mejia ay rosario y porque este en lugar de mejorar vamos peor y no estoy hablando nadamas del estado hablo a nivel pais todo para llorar  a los soldados los tienen trabajando de albaniles en lugar de cuidarnos porque para morena no esta ver mas,negativo
si cumplen,negativo
vamos con morena no hay mas,negativo
as de tener muchos hue,negativo
primero educa a los hijos de las familias de tu estado porque los padres somos los culpables de la delincuencia al solapar sus fechorias  y no publiques sandeces muchacha  los problemas que enfrenta el pais y tu estado es porque los padres de fam dejan ver mas,positivo
por eso vamos por morena,negativo
mi chica,negativo
echale echale al cabo no vas a hacer nada como les gusta insultar la inteligencia de todas las personas,negativo
sera cierto,negativo
sierto,negativo
trais puro sueno,negativo
puro bla bla,negativo
pues esta en chino eso que dices pues todo el sistema judicial esta mas coludido con la mana y hasta la suprema corte esta mas coludida no mientas o le vas decir a los usa que dejen de consumir drogas y llevar a los delincuentes a la justicia  prime ver mas,negativo
por ninguno,negativo
loketienen que  acer dales permitir  k la  jeter porte armas parakesedefienda,negativo
jajaja delengua mecomo 10 tacos,negativo
jajaja,negativo
no te creo nada,negativo
puras promesas yo voy con morena,negativo
lla nada con el prian  lla nada con el pan vamos con morena arriba morena arriba morena arriba lopez obrador viva mexico senores,negativo
en jalisco no vas a ganar jajajaja,negativo
nose,negativo
ningun gobierno va poder con los narcotraficantes de no suenen jajsja,negativo
pero tu ni oportunidad de ganar tienes,negativo
jajajajaja,negativo
es lo que dejaron los malos gobiernos qe estubieron en el poder desde anos atras no te hagas w3y,negativo
la del pri hablando de orejas,negativo
hay que enfrentar a esos delincuentessacarlos  detenerlos y que paguen por todo ese mal que le han hecho a las gentes,negativo
vasegir tamtito peor xke ya nopueden detener la escuela del mal,negativo
22 de abril aun no hay responsables tu partido pri lo oculto,negativo
en jalisco el pri no levanta ni con grua,negativo
viva morena y obrador,negativo
no se ocupan mas policias  tu partido es el que fomenta a delincuentesmorena solo tiene 6 anos y la violencia tiene 40 anos,negativo
siiiiiii,negativo
quien gobierna jalisco dime con kien andas y te dire quien heres,negativo
yo patrocinando al pan y a lauraharogobernadora  y ella ni en cuenta me deberia de patrocinar un turbo,negativo
hubiera votado por ti pero si hubieras ido como independiente no con el pan eso hace perder credibilidad en lo que dices,negativo
pensamos que ustedes dan permiso a la delincuencia organizada los odio me jit trabaja de secretaria,negativo
jaja  no digas mmdas si los policias son los delincuentes,negativo
vamos con todo laura haro ramirez gobernadora por un jaliscosinmiedo fuerzaycorazonporjalisco,negativo
te apoyo laura,positivo
mivotoparaxochitl11,negativo
jalisco gobernada por movimiento ciudadano mcmalicimo gobierno,negativo
morena jalisco,negativo
politica indolente como mentarle la madre a los jaliscienses porque te reclaman el darle dinero a la iglesia o indolente como hacerse wey por los n4rc0bloqueos y dejar que la delincuencia llegue a un punto de no retorno,negativo
te apoyo laura,positivo
creando y reforsando al crimen organizado con el gobierno  del prianrd,negativo
nese sitan correr toda la estatal son muy corruptos,negativo
la mejor laura haro estamos contigo,negativo
calla y primero si acabare con la corrupcion,negativo
orgullomexicano                                                                es un placer estar con la 4t   nosotros los mexicanos ya sabemos por quien iremos este 2024 seis de seis con morenacopia y pega ver mas,positivo
ya dejen de mentir y robar,negativo
por un mexico democrata con futuro lauraharogobernadora y xochitl galvez ruiz presidente de mexico,positivo
asi es fuera el narco cartel del movimiento ciudadano,negativo
pongan lospolisias que pongan seban abender como todos,negativo
yo con laura sera mi gobernaadora,negativo
no digas mamadas medio weee,negativo
tu si pero tu candidata,negativo
aaaay mejaaaaaa traes puurooooo suenooooo mijaaaa jajajaja jajajaja jajajaja,negativo
orgullomexicano                                                                es un placer estar con la 4t   nosotros los mexicanos ya sabemos por quien iremos este 2024 seis de seis con morenacopia y pega ver mas,positivo
impunidad   estamos esperando hoy 22  abril su  impunidad de  pemex  todos los muertos  desaparecidos en esas explosiones  donde quedaron los pagos  de las casas autos negocios perdidos,negativo
es del prian entonces no  prian y prd significa corrupcion,negativo
viva morena,negativo
prohibidoolvidar,negativo
bla bla bla bla,negativo
bendiciones xochitl eres la mejor digan lo que digan,positivo
aqui jalisco  morena manda,negativo
resuelve su vida del candidato,positivo
los que se equivocan son los de la disque 4t de donde estamos peor pero no alego con gente que ignorante que te a dejado este partido comunistas estas mas rico que cambios le vez a mexico pero respeto tu forma de pensar buenas noches,positivo
bendiciones xochitl eres la mejor digan lo que digan,positivo
aqui jalisco  morena manda,negativo
resuelve su vida del candidato,positivo
los que se equivocan son los de la disque 4t de donde estamos peor pero no alego con gente que ignorante que te a dejado este partido comunistas estas mas rico que cambios le vez a mexico pero respeto tu forma de pensar buenas noches,positivo
estamos contigo laura haro ramirez  proxima gobernadora de jalisco    ,negativo
yo nunca vi al pri al pan o al prd resolver jajajaja ya fueron muchos anos y nada no fuimos potencia mundial en sus administraciones al contrario les recuerdo asalinas de gortari   devaluacionzedillo  fobaproa ver mas,negativo
sacaste todo el repertorio chato pero no hay punto de comparacion 60 millones de mexicanos respaldamos a obrador,negativo
 70 anos con prian y solo 5 morena,negativo
  no hay apoyo al campo no hay medicinas no apoyan a los que tienen cancer la educacion esta peor la militarizacion del pais etc etc etc,positivo
 el gobierno morenita en menos de seis anos ha destruido mas y nos ha endeudado mucho mas,positivo
 teniamos seguro popular medicinas en los hospitales publicos teniamos el palacio nacional de museo no habia hijos de amlo tan corruptos y el porro estaba en su rancho,positivo
no se como le van a hacer para ganar traiciones a diestra y siniestra  un ejemplo el candidato de pan pri y prd de cocula jalisco lo encontraron negociando con lemus donde esta la lealtad a laurs haro ramirez,negativo
con todo mi estimada laura haro ramirez rumbo al triunfo tu perseverancia sera la que te dara  la victoria  fuerzaycorazonporjalisco  con todo mi apoyo pri tepatitlan y con miguel angel esquivias ganaremos,positivo
eres una gran lider laura haro ramirez todo mi apoyo y el de mi familia se que eres una gran mujer y muy preparada nuestra proxima gobernadora  sigue  adelante ,positivo
jajaja 3lugar,negativo
te apoyo te apoyo laura jalisco,positivo
pri pan pan pan mcni locos,negativo
algo que me nace del corazon,positivo
esa es laura haro ramirez nuestra proxima gobernadora de jalisco me encanta tu transparencia tu voluntad por sacar adelante a jalisco eres una mujer con mucha fortaleza y muy admirable con todo laura,positivo
norma mariana navarro muy bien,negativo
norma mariana navarro claro que haci sera yo voy con laura haro,negativo
nada nada nada vamos morena,negativo
el pri no resuelve nada laura si estuviera en otro partido o independiente hubiera logrado muchisimo las marcas no le favorecen nada muy buenas propuestas lastimosamente el pri no la levantara y menos el pan y mucho menos el prd saludos,negativo
juntossomosmas tonala amigo un candidato de conviccion y lealtad y sobre todo sin un milimetro de cola que le pisen cero corrupcion no tiene nada que ver con colores los traga cuando hay los chapulines esos no quieren ver por jalisco esos quieren ver ver mas,negativo
pako sevilla no hablo de la candidata hablo del partido saludos muy preparada,negativo
juntossomosmas tonala justamente pienso eso es mucha candidata para tan poco partido ojala morena haya puesto los ojos en ella y no en claudia,negativo
laura haro gobernadora,negativo
claro con el iphone ultima generacion,positivo
estamos contigo laura haro ramirez,negativo
mi gobernadora,negativo
animo laura hasta la victoria,positivo
mujer guerrera   y con la voluntad de hacer un mejor jalisco,positivo
no se discute tu mereces la oportunidad de construir al jalisco gigante de todo mexico,positivo
la mejor candidata,negativo
la mejor candidata fuerza y corazon por jalisco,positivo
eres una gran mujer y seguro que seras una gran gobernadora de nuestro estado de jalisco tienes una gran capacidad eres una mujer muy fuerte  todo nuestro apoyo ,positivo
mejor no peometan nada total q ya sabemos que nunca cumplenpalabras de campana,negativo
laura proxima gobernadora de jalisco,negativo
vamos amiga,positivo
te apoyo laura,positivo
queremos paz y prosperidad,negativo
muy bien bamos con todo si se puede vamos a gamar,negativo
contigo laura haro hasta el triunfo,positivo
gracias x entender y apoyar gobernadora de jal,positivo
la inclusion de las personas con discapacidad,negativo
echale ganas laura esta dificil pero no imposible tu eres una guerrera animo queda un mes de campana  morena y mc  se van a dar con todo queda lo mas sucio tu dedicate  a lo tuyo animo,positivo
asi como taboada,negativo
estamos contigo laura haro ramirez  a ganar,negativo
animo mexico se levanta con la union de los mexicanos verdaderos,positivo
un partido de izquierda  un partido derecha y un partido del centro  no me cabe en la cabeza como es que pudo llegar esta irracionalidad para conformar ideologias tan discrepantes en uno solo yo recuerdo que cada partido tenia sus principios basico ver mas,negativo
se deberia quedar como requisito obligatorio para todo servidor publico y mas obligatorio para los que aspiren a puestos politicos,negativo
cierto y propongo que igual se examinen los candidatos a todos los cargo de eleccion popular que los de la coalicion fuerza y corazon por jalisco lo hagan,negativo
que bueno que x completo se va el prian,negativo
anitha gomez  y que bueno que va ganar morelia  el socialismo que arda mexico jajajajajaja,positivo
