dato,predicciones
mi apoyo a la dra claudia y todo nuestro respaldo a la 4t es un honor estat con obrador y es un honor estar con claudia hoy,negativo
confiamos en usted doctora claudiasheinbaumpresidenta,positivo
tecnmguerrero,negativo
yo con la dra claudia sheinbaum  nuestra próxima presidenta,negativo
muchas felicidades,positivo
estimada doctora claudia sheinbaum gran precampaña vamos con usted presidenta,negativo
nuestra próxima presidenta es claudia somos mayoria y luz para huimanguillo desde la tierra de la piña tabasco,positivo
nuestra próxima presidenta,positivo
mexico  ,positivo
viva el proyecto de transformación nacional de la vida pública,positivo
viva claudia sheinbaum,negativo
viva amlo,negativo
viva méxico,positivo
hastalavictoria,negativo
claudia,negativo
la futura presidenta claudiapresidenta2024,positivo
bendiciones inagotables para ti mi hermosa mujer esforzada y valiente ,positivo
vamos contigopor nuestra gente y nuestro maravilloso pais ,positivo
te amamos claudia sheinbaum,negativo
bravo bravo gracias a dios por su victoria,positivo
una mujer como usted merece gobernar este hermoso país felicidades doctora claudia sheinbaum,positivo
firmes con usted,positivo
no se preocupe defraudados ya estamos con usted solo vamos a poner peor las cosas,negativo
con todo licenciada,negativo
el pueblo la respalda y desde el salto jalisco estamos con usted,negativo
sin duda así será estamos con usted dra claudia sheinbaum que siga la transformación,negativo
que emoción,negativo
la mejor representante que méxico puede tener claudiasheinbaum nuestra próxima presidenta,positivo
por supuesto que sí dra claudia vamos con usted hasta la victoria,positivo
vamos con todoseñora claudia,negativo
con todo doctora muchas felicidades,positivo
siii nuestra futura presidenta,positivo
mi apoyo para usted doctora claudia shemba,positivo
sin duda alguna será una gran presidenta  mi apoyo total ,positivo
excelente liderazgo doctora es un honor estar con obrador y ha hora con claudia también lo es los mexicanos que emberdad amamos a nuestro país no dudamos de la capacidad que tiene para seguir con la transformación de nuestro país no dude en votar por usted cuándo vino la encuesta sabía que tiene la capacidad para representarnosen hora buena resiva un cordial saludo desde sta catarina juquila oaxaca la tierra de los grandes milagros juquila es su casa espero saludarla personalmente reciba muchas bendiciones quedo de usted mi chingona viva claudia viva méxico,positivo
buenos días claro doctora claudia sheinbaum tiene todo nuestro apoyo con mi familia y gran parte de la mayoría de la gente aquí desde paso del macho veracruz estamos al  con su giras de precampaña para sea usted la nueva presidenta de esta hermosa nación como lo es nuestro méxico bendiciones ,positivo
dra claudia usted tiene el cariño de todo méxico va ser una excelente presidenta de méxico vamos con todo con la 4t un saludo a la distancia dlb,positivo
muy feliz de que sea nuestra próxima presidenta dra claudia sheinbaum un abrazo con cariño y respeto ,positivo
asegurada la continuación de la 4t con usted el pueblo organizado fiel al proyecto,positivo
nuestra próxima presidenta digna representación y cuanta con nuestro apoyo,positivo
fue todo un éxito y vamos con todo ,negativo
todo el apoyo dra claudia sheinbaum la mejor opción para que continúe la 4t cuando en la vida se conduce con valores todo viene por añadidura,positivo
dra claudia sheinbaum mi jefa hermosa muchas felicidades se sintió el cariño y aprecio que le tienen los mexicanos y claro que yo también la amo mucho no cabía ni un alfiler  más estuvo su cierre espectacular sigamos haciendo historia muchos abrazos de luz lluvia de bendiciones,positivo
que viva la 4t apoyo total con claudia,positivo
excelente evento doctora claudia sheinbaum tiene todo mi apoyo pará que usted sea la próxima presidenta vamos contodo para que siga la continuidad de la 4t saludos desde acapulco,positivo
felicidades dra claudia su mensaje y discurso muy bien solo me permito una observación que su mensaje sea más coloquial que use términos ciudadanos para que todos entiendan perfectamente su mensaje bendiciones y arriba méxico nuestro presidente y usted,positivo
claro que siiiiiiiiiiii  estamos con usted claudia sehiubaunmpardo,negativo
futura presidente de méxico  porque en usted vemos la sinceridad y sobre todo a la mujer sencilla  y preparada respetuosares,positivo
ponsable y creemos que usted es la digna y merecedora para ocupar la silla presidencial y portar la banda con honor y sobre todo con ese gran amor a nuestra nación y a nuestra gente  y la apollamos y vamos por la 4transformacion ,positivo
presidenta presidenta ,positivo
méxico surgió milenios atrás cuna de una de las más grandes civilizaciones del mundo tierra de grandes heroínas que nos dieron patria y libertad también las mujeres han dado logros para nuestra gran nación nuestro pasado presente y futuro debe ser ya dirigido con la visión de una gran mexicana científica madre abuela y mujer con ella volveremos hacer historia claudiasheinbaumpresidenta ,positivo
hasta la victoria al 100 con la doctora claudia,positivo
ahí estaremos con usted doctora somos millones los que apoyamos elprpyecto que usted encabezará este nuevo ciclo es el de las mujeres y usted ya nos representa a millones y aunque hoy no pude ir al cierre de su orwcampaña desde la distancia reciba todo el apoyo,positivo
es un honor acompañarla en este gran proceso de transformación y usted de la mano del pueblo hará un excelente papel viva nuestra patria,negativo
estamos con claudia juntos haremos historia viva morena la 4t,negativo
es un honor estar con mi presidenta,positivo
el movimiento nacional migrantes huehuetla hidalgo en coordinación con nuestro amigo martín apolonio y nuestro líder nacional internacional,negativo
es claudia,negativo
claudia es la respuesta,negativo
los comités en defensa del voto son claudia,positivo
viva morena,negativo
viva hidalgo,negativo
viva huehuetla,positivo
viva la esperanza de todos los mexicanos ,positivo
la queremos doctora claudia sheinbaum desde tlaxcala víva nuestra próxima presidenta,negativo
en usted veo a la verdadera humildad y no hablo sobre austeridad,negativo
hablo del trato que le da a la gente,negativo
la honestidad,negativo
es el resultado de la transparencia atravez de las acciones y no de las simulacionesy eso es el trabajo que se a venido realizando con el licenciado andres manuel lópez obrador,negativo
y la continuidad de la cuarta transformación desde hoy le aseguró esta en usted,negativo
el humanismo,negativo
sería el resultado del respeto a todos los pueblos de méxico,positivo
luchando siempre por sus derechos en todos los sentidos,positivo
le envío un abrazo señora presidenta,positivo
saludos desde la comunidad de jardines de san juan en la alcaldía de tlalpan,positivo
disfruto con emoción el mensaje de la dra claudia sheinbaum y la solidaria y entusiasta asistencia,negativo
victoria y continuidad de la 4 t,positivo
cuenta con mi apoyola próxima presidenta de claudia,positivo
viva la 4t viva méxico viva nuestra próxima presidenta agamos historia,positivo
mi voto con claudia ,negativo
los pilares estan refrendados la confianza está dada  sigamos construyendo el méxico de todos y todas ,positivo
hasta la victoria siempre doctora claudia sheinbaum ,negativo
con el humanismo que está trascendiendo es todo doctor un pueblo la respalda ,negativo
vamos con todo dra la victoria es suya y de mexico ,positivo
claro doctora claudia cuente con nuestro apoyo para fortalecer aún más la 4 trasformación,positivo
primera mujer y preparada  futura presidenta de los estados unidos mexicanos drclaudia apoyo total,positivo
es un orgullo que sea nuestra primer mujer presidenta,positivo
felicidades doctora claudia sheinbaum ,positivo
futura presidenta de méxico lindo y querido,positivo
todo mi apoyo,positivo
gran trabajo el que realizas con todo tu equipo de trabajo draclaudia sheinbaum,negativo
futura presidente de nuestro bello país,positivo
estamos con usted ,negativo
¡viva el humanismo mexicano ¡viva claudia sheinbaum,positivo
estamos con ud,positivo
dra claudia sheinbaum,negativo
viva la 4t,negativo
adelante maestra la mayoría estamos contigo dios te siga dando muchas bendiciones,positivo
mis mejores pensamientos energía y vibraciones positivas para usted drasheinbaum y todo su equipo que le rodea,negativo
todo mi apoyo al proyecto que usted representa,positivo
muchas gracias doctora claudia sheinbaum por todo lo que están haciendo por nosotros cuente con mi voto un fuerte abrazo a usted y a toda su familia y que dios la bendiga a usted y a todos los que están luchando para que nuestro méxico salga a delante,positivo
claro que sí nuestra confianza está puesta en usted como lo hicimos con nuestro actual presidente y se que como el no nos va a fallar estamos con usted y ya ganamos desde el momento en que pasó hacer nuestra candidata,positivo
vamos con todo mi futura presidenta de méxico saludos desde pijijjiapan chiapas,positivo
plan c con c de claudia con c de clara con c de cuarta transformación,negativo
viva amlo,negativo
viva mexico,positivo
viva morena,negativo
viva el pueblo consciente y organizado,positivo
sigamos haciendo historia viva la 4t usted dra digna de llevar el timón de este bello país,positivo
apoyo total para usted dra claudia sheinbaun te apoyamos desde petalcingo chiapas somos 0bradorisras de corazón y usted será la próxima presidenta y el pueblo lo respalda saludos y bemdiciones en su andar,positivo
confiamos plenamente en ud dra claudia que continuará la 4t con firmeza,positivo
un honor estar apoyándola y con orgullo ser parte de la historia arriba claudia sheinbaum próxima presidenta de la ciudad de méxico,positivo
la mejor estoy feliz de poder vivir la experiencia de tener una mujer de presidenta,positivo
felicidades dra claudia sheinbaum el pueblo está con ud la saludo con afecto desde san bartolomé yucuañe oaxaca,positivo
mi próxima presidenta de méxico,positivo
estamos con usted dra sheunbaum sí a la continuidad de la 4a transformación,negativo
un afectuoso abrazo,positivo
que continúe la transformacion de nuestro méxico dra estamos con con usted digo estamos porque junto con toda la familia la apoyamos saludos y bendiciones desde tecámac,positivo
todo nuestro apoyo,positivo
la dra claudia sheinbaum representa la persona idónea como gobernante para quienes como mexicanos queremos el bien para nuestro país será nuestra próxima presidenta la victoria está cerca viva la 4t,positivo
mujer valiente sincera  por sus idealespor la justicia mi familia y yo estamos con ud dra claudia shembaum,positivo
bendiciones doctora claudia dios le de la sabiduría sabemos que lo va a hacer,positivo
por unidad y bienestar con claudia quiero estar me fue muy grato estar en el monumento a la revolución,negativo
la 4t sigue adelante siempre fiel a nuestra próxima presidentasaludos desde saltillo,negativo
estamos con usted hasta la victoria ,positivo
inconmensurable,negativo
la energía social que despierta acumula y enrumba hacia la victoria la dra claudia próxima presidenta de méxico,positivo
felicidades dra,positivo
claroooooo qué confiamos en usted tiene usted todo el apoyo total desde las montañas del norte de chiapas,positivo
y claroooooo que la transformación de méxico usted lo continuará y hará historia,negativo
claudia nos quiere gobernar y yo le digo a las gentes que claudia nos gobernaraaaa,negativo
ni un paso atrás  hasta la victoria,positivo
mi familia y yo estamos con la dra claudia sheinbaum confiamos en ella por la transformación con cambio sigamos con la revolución de las conciencias,negativo
en durango estamos contigo y nuestra amiga marina vitela vamos con todo,positivo
viva usted doc claudia y viva morena estamos listos para este gran acontecimiento en nuestro paísviva la 4 transformación a favor de los que menos tienen  estamos seguros que no nos va a defraudar,negativo
claudia sheinbaum presidenta,negativo
saludos afectuosos,positivo
mi apoyo es para usted doctora claudia  un saludodesde emiliano zapata ,positivo
estamos honrados por tenerla como candidata y pronto será nuestra representante de nuestro hermoso y problemático país a hecharle ganas todos y seguir con la4 t,positivo
¡hasta la victoria siempre doctora claudia sheinbaum pardo desde coahuila de zaragoza saludos ,positivo
ya es tiempo de que una mujer,positivo
gobierne el país,negativo
y esa mujer es usted,positivo
doctora claudia,negativo
ejemplo a seguir,positivo
felicidades próxima presidente,positivo
bendiciones para claudia sigamos con morena,positivo
vamos con todo nuestra futura presidenta,positivo
mi apoyo total,positivo
mi gente sigamos adelante con la nueva transformación  de nuestro méxico  mucho cuidado con caer con la bola de icnorantes  del pri  del pan y del prd  nos tuvieron engañados durante décadas  ahora méxico  tiene la oportunidad de tener lo suyo  viva claudia sheimbaum end manuel lopez obrador  viva mexico  y lo que viene,negativo
excelente doctora claudia sheinbaum  nuestro apoyo  felicidades ,positivo
cómo usted no hay 2 nuestra próxima precidenta estamos con tigo,positivo
apoyo total ala dra claudia sheinbaum vamos por ese cambio viva méxico  viva la 4 t viva morena ,positivo
confiamos que sigas con el legado del mejor presidente de méxico como dijo el ciclista en ti confiamos,positivo
es tiempo de las mujeres todo el apoyo para claudia sheinbaum morena vamos con todo,negativo
cuenta con mi apoyo será la próxima presidenta de méxico y muchas felicidades por su campaña es una mujer comprometida en todos los aspectos  ,positivo
como gobernante de un pueblo lo fundamental son los valores y el amor a servir con tus dones que dios les da para un bien común a la sociedad,positivo
un alegría poder abrazarla en corazón y en físico  tlalpan siempre presente con usted,positivo
claudia si el mejor presidente andrés manuel lópez obrador te dió la confianza millones de mexicanos estamos contigo por qué seguirás con la transformación de méxico con sello único seremos mayoría para el plan c,negativo
viva la 4t vamos con todo bendiciones,positivo
felicidades dra claudia sheinbaum que continúe la 4t,positivo
una mujer que desea el bienestar de todo su país en todos los sentidos seguridad economía etc aparte comprometida y honesta mi reconocimiento y mi voto para ser la próxima presidenta de méxico ,positivo
es un honor estar con usted dra claudia nuestra próxima presidenta de méxico  viva la 4t viva morena ,positivo
es nuestra tarjeta de presentación el humanismo el cambio verdadero dra claudia sheinbaum  es un honor estar con la dra claudia hoy un abrazo desde la comunidad de san jerónimo purenchecuaro municipio de quiroga michoacán ,positivo
claudia sheinbaum ,negativo
hoy estuvimos con usted apoyándola y segurs estamos que será la próxima presidente de nuestro hermoso país méxico ,positivo
que siga la 4t,negativo
tiene que ser parte de la historia dra claudia sheinbaum tiene que ser presidenta estamos unidos y estamos con usted ,positivo
al 100 con la dra claudia sheinbaum futura presidenta de los estados unidos mexicanos,positivo
saludos muchas bendiciones,positivo
que siga la 4t con nuestra proxima presidenta dra claudia sheinbaum,negativo
muy padre el evento nos tomamos asta una foto con claudia sheinbaum  vamos todos,negativo
sigamos con la 4 transformación doctora claudia dios me la bendiga siempre ,positivo
en usted confiamos así como lo hicimos con el más grande de todos los tiempos,negativo
ahí estaremos con usted señora claudia sheinbaum vamos pueblo que siga la 4t,negativo
es tiempo de mujeres,positivo
vamos con toda la actitud dra claudia sheinbaum,negativo
y faltamos muchas personas más que la apoyamos,positivo
claro que sí dra claudia sheinbaum nuestra próxima presidenta de la república mexicana le envío un fuerte abrazo saludos,positivo
todo el apoyo incondicional doctora claudia sheinbaum no está sola el pueblo unidos y despiertos somos la fuerza ni un paso atrás para nuestra próxima presidenta del pueblo de méxico,positivo
dra claudia sheinbaum vamos a repetir con un triunfo contundente como en el 2018 estoy seguro hoy fue un excelente inicio vamos a ganar,positivo
es un honor estar con nuestra futura presidente claudia sheinbaum,negativo
somos millones que estamos contigo doc claudia sheinbaum,negativo
el pueblo de méxico una vez más se le entrego ,negativo
querida dra claudia ,positivo
méxico está muy contento y no olvida todo el apoyo que udnos ha dado en tantas cosas en el campo y la ciudad ,negativo
madres niños jóvenes y adultos mayores esto nunca se había visto,negativo
todos los avances q ha dado méxico gracias a la buena y acertada organización de nuestro presidente y de usted cómo jefa de gobierno ,positivo
sabemos q sin lugar a duda ud es la sucesora de nuestro presidente andrés manuel lópez obrador,positivo
dra claudia sheinbaum sigue contando con todo nuestro apoyo vamos a ganar este 2 de junio,negativo
todo méxico con la 4t confiamos en usted dra claudia sheinbaum,negativo
todo nuestro apoyo y estamos con claudia,positivo
que siga la transformación,negativo
ánimo vamos bien un  abrazo querida claudia,positivo
así será doctora nosotros le llevaremos a la silla por qué usted le dará continuidad a la 4t que tanto le ha costado a nuestro querido amlo,negativo
le apoyamos doctora claudia sheinbaum estamos con usted esperamos un gobierno continuación del de nuestro queridisimo presidente actual lic andrés manuel lópez obrador quien ha hecho un excelentísimo trabajo por lo que estamos orgullosisimos de el le tenemos muchísimo cariño y respeto,negativo
todo mi apoyo a lafutura presidente dra claudia felicidades usted tiene todas las cualidadespara,positivo
representar anuestro querido pais un fuerte abrazo y bendiciones que siga el exito dlb,positivo
viva la 4t viva claudia sheinbaum viva morena viva mexico,positivo
eso es tooodo dra claudia total apoyo para usted ,positivo
estuvimos muy motivados todos los que asistimos a este gran evento con el total apoyo a nuestra próxima presidenta de méxico claudia sehimbaun,positivo
seguimos apoyando a la 4t bien por todo méxico y nuestra gente,positivo
buenas noches dra claudia con todo gusto seguimos apoyando fue un placer estar hoy acompañándola en el monumento a la revolución,positivo
sigamos haciendo historia con unidad sin robar sin mentir y sin traicionarcon ética valores y principios por el verdadero humanismo mexicano es nuestro tiempo y nuestra responsabilidad,positivo
de hacerlo en grande para todo el mundoser realmente el gran paísder verdaderamente méxico,negativo
nada ni nadie detendrá esta siguiente etapa que como presidenta consolidará perpetuado con el amor de un pueblo que sabe dar amor a quien su palabra respalda con trabajo tangible visible y honesto,positivo
yo con claudia sheinbaum,negativo
mí apoyo para usted claudia sheinbaum próxima presidenta de méxico,positivo
que siga la 4 transformación es claudia saludos de altamira tamos,positivo
estamos con usted dra claudia sheinbaum futura presidenta de méxico,positivo
con todo doctora claudia sheinbaum cuenta con mi apoyo y el de toda mi familia,negativo
continúe trabajando por el bienestar del nuestro pueblo la apoyamos en su empeño,negativo
claudia sheinbaum ya somos historia con nuestro presidente andrés manuel lópez obrador y tú vaz a seguir transformando a nuestro querido país que es méxico para que seamos el mejor gobierno con todos los apoyos para todas y todos nuestros abuelos que son los que más nesecitan para que sigamos avanzando y que viva la 4 t mg morena,negativo
todo el apoyo para usted estimada doctora claudia sheinbaum y todo su equipo de campaña,positivo
vamos doc claudia sheinbaum a seguir avanzando  todo nuestro apoyo desde el estado de jalisco,negativo
totalmente de acuerdo vanos a darle continuidad al verdadero cambio que se viene en nuestro país mexico y por primera vez méxico tendrá una mujer como presidenta ,positivo
una mujer muy preparada y lista para continuar con el segundo piso de la cuarta transformación ,negativo
conclaudiaganamos,negativo
y faltamos mi esposa y su servidor por cuestiones de salud para la otra no faltaremos la 4t avanza y nadie la detiene,negativo
vamos con todo draclaudia sheinbaum mi apoyo conciente es para usted ,positivo
claudia lucha por nuestro pueblo gracias por ayudarnos nuestro pueblo,negativo
dra sheinbaum mi apoyo como maestro y arquitecto,positivo
que el señor le guíe con sabiduría para hacer que continúe el cambio,negativo
dios le bendice,positivo
felicidades dra claudia sheinbaum nuestra próxima presidenta,positivo
firmes y adelante doctora claudia sheinbaum digna representante para presidenta de méxico,positivo
con usted vamos a seguir haciendo historia doctora claudia sheinbaum  cuente con nuestro apoyo incondicional para seguir transformando a nuestro hermoso país saludos,positivo
bonito discursoy será muy realdra claudia será la primer presidente de la república,negativo
excelente usted será nuestra presidente que le dará la continuidad de la 4t que ha impulsado nuestro presidente con nuestro voto,negativo
sigamos con la 4t,positivo
conclaudiaganamos y desde cuauhtémoc chihuahua le reiteramos nuestro total apoyo como se lo demostramos en su visita a nuestra ciudad saludos doctora,positivo
las mexicanas y mexicanos humanistas de vocación transformadora y comprometidos con el bienestar del pueblo estamos contigo claudia reconocemos el gran trabajo del presidente andrés manuel lópez obrador y la ruta democrática de morena,negativo
aquí se mira el apoyo fue todo un éxito vamos con todo claudia sheinbaum próxima presidenta de méxico ,positivo
es un honor estar con la mejor claudia presidenta morena grande de las grandes claudia presidenta contigo asta la victoria apoyo total ,positivo
me siento orgullosa tanto de mi presidente amlo como de su dicipula y se que nos representara muy bien al igual que nuestro gran líder estamos con usted mi familia y yo gracias por ser como es,negativo
felicitaciones a la dra claudia sheiubaum próxima presidenta de la república mexicana sí se puede saludos amor  por álvaro obregón,positivo
es un honor estar con la mejor estamos con usted dra claudia,negativo
por un mexico mejor y primero los pobres mi voto para la doctora claudia sheinbaum,negativo
con claudia hasta la victoria ,positivo
siempre fui lópez obradorista y le tocó una muy complicada gobernación entre la gran pandemia lo de acapulco y muchas otras cosas más es el primer presidente qué pese a todo obstáculo ayudo al pueblo y del cual se ha recibido algo el comenzó un cambio y tenemos las esperanzas puestas en qué ese cambio lo seguirá deseándole que tenga más suerte y nuestro país no atraviese por situaciones complicadas durante su gobierno para que la ayuda y los cambios que ya son notorios lo sean más no se puede reelegir presidente pero si apoyar el cambio estamos con usted nuestra futura presidenta y estamos seguros que pondrá alas mujeres muy en alto felicidades,positivo
confío en que todo estará mejor sigamos en el camino correcto ,positivo
muy bien dra claudia sheinbaum ,negativo
muchas felicidades sabemos que nos va ha defraudar porque las mujeres tenemos palabra saludos y abrazos desde el municipio de mecatlan,positivo
muchas pero muchas felicidades mi presidenta dra claudia saludos desde 4 raund cdmx anthar sosa,positivo
a seguir haciendo historia dra claudia sheinbaum con usted estamos saludos desde guerrero,positivo
y los que faltamos pero tiene todo nuestro apoyo felicidades,positivo
por eso amor con amor se paga mí estimada dra claudia sheinbaum  sabemos que será una gran presidenta de méxico por eso tendrá él respaldo de millones de mexicanos para consolidar la transformación y el proyecto de naciónmuchas felicidades y adelante vamos a juntos a seguir haciendo historia,positivo
la cuarta transformación es por mucho el mejor proyecto de gobierno que se haya implementado en mucho tiempo en nuestro país más allá de lo que los detractores afirmen ni siquiera ellos pueden negar que la 4t es efectiva al gobernar para las mayorías otros vinieron antes poniendo por delante las prioridades de las minorías y todavía merodean por allí suponiendo que pueden volver a tomar el timón pero eso no va a pasar por una sencilla razón en los países democráticos mandan las mayorías y en méxico esas mayorías ya aprendieron a reconocer el perfil de políticos que representan sus intereses,negativo
tiembla el prian y su gelatinera candidata ni soñando tienen ese apoyo felicidades dra claudia sheinbaum y a todo su equipo,negativo
vamos con todo a la 4a transformación ya nadie la detiene la lucha es del pueblo verdadero que ama a su hermoso país méxico,positivo
queremos un cambio un cambio con una presidenta como usted que dios le quite cada obstáculo que se le presente en el camino futura presidenta claudia apoyo total con el lic rangel de zacamulpa huixquilucan,positivo
excelente dra claudia saludos y muchas bendiciones en todo momento un fuerte abrazo a la distancia ,positivo
excelente saludos desde chiapas,positivo
todo es posible con unidad y esperanza viva la transformación,positivo
te apoyamos todos en denver colorado usa estamos seguros que venceremos y estáras dirigiendo y gobernando a méxico y todos los mexicanos estaremos orgullosos de tu mandato doctora claudia te queremos y te respetamos viva méxico,positivo
cuente con nuestro voto desde texas  saludos doctora sheinbaum,positivo
excelente dra usted será la próxima presidenta de méxico muchos éxitos,positivo
querida amiga claudia sheimbaum que gusto me da ver el cariño que te tiene el pueblo de mexicovas a llegar a la presidencia arropada con nuestro cariño y confianza ,positivo
saludos y bendiciones doctora claudia sheinbaum futura presidenta de los estados unidos mexicanos ,positivo
estoy confiado en que serás la continuidad de este gran legado gracias claudia sheinbaum ,negativo
excelente para una nueva transformacion eso es tener compromiso con los mexicanos,positivo
somos millones de mexicanos que estamos contigo dra claudia y estamos seguros que será nuestra próxima presidenta de méxico porque estamos convencidos que los ideales del nuestro presidente amlo darán continuidad a la 4t estamos con usted al 100 bendiciones,positivo
millones estamos seguros de eso dra que seguirá construyendo más fuerte el legado de nuestro querido y mejor presidente de la historia de este hermoso país estamos con ud hasta la victoria,positivo
estamos con la doctora claudia sheinbaum pardo y que viva méxico,negativo
que siga la 4t con la dra claudia sheinbaum,negativo
gracias dra por seguir en proyectando su confianza y entera disposición para la búsqueda de grandes logros para el bienestar de nuestro hermoso país en total gratitud a todos los que queremos el seguir progresando en unidad con todos nuestros hermanos extranjeros en armonía y en perfecto sentido de victoria para todos y al pais mexico yo apoyo a para presidente de la república mexicana a dra claudia sheinbaum bendiciones,positivo
todos juntos por una gran nación vamos a ocupar el lugar que nos corresponde en el mundo ,positivo
con todo doctora somos fielesarriba la cuarta transformación,negativo
estamos con ud doc claudia,positivo
vamos con todo doctora claudia sheinbaum siempre estaremos contigo y la 4t,negativo
necesitamos continuar con esta lucha que no se ganó tan fácil más sin en cambio se consolidó viva la 4t,positivo
vamos de la mano con usted dra ,negativo
saludos cordiales a la dama más bella del mundo inteligente científica universitaria incansable dra claudia sheibaum pardo bella inteligente preparada científica incansable es dra claudia sheibaum pardo bella,positivo
estamos con usted doctora y que haya continuidad con la 4t una pregunta algún día volverán a costar los cheetos a 150,negativo
seguimos apoyando dra claudia vamos por la 4t,positivo
vamos dra claudia si se puede bendiciones próxima presidenta,positivo
todo mi apoyo dra,positivo
con amlo se inició un gran cambio de la política mexicana recuperando la justicia social para los que menos tienen y realizando obras de infraestructura,positivo
y servicios casi imposibles de creer falta mucho por hacer en un país donde robar por parte de los servidores públicos ya era normal estoy seguro que el proyecto de la 4t con usted se consolidará y llevará al país a continuar con la transformación en beneficio de todos los mexicanos saludos doña claudia,positivo
si todo es honesto se la lleva por mucho todo el apoyo para la dra,positivo
excelente eventomi apoyo total,positivo
ahí estuve claudia seguimos contigo y con la 4t,negativo
sabemos que no nos vas a fallar,positivo
por supuesto y así va a ser bendiciones y que dios te siga dando esa fuerza en todas tus victorias méxico seguirá siendo más grande,positivo
muchas felicidades dra claudia ahi estuvinis en el monumento a la revolucion apoyandola todo está dicho presidenta,positivo
así es dra claudia ud lo va a lograr muchos millones estamos con ud tenga ffee diosito la bendiga también a su equipo,positivo
felicidades dra construyendo el 2o piso de la transformación,positivo
seguimos con plan c,negativo
vamos con nuestra próxima presidente de méxico dra claudia,negativo
voto masivo para la doctora claudia sheinbaum todo mi apoyo para la 4t,positivo
