dato,predicciones
nnosotros los verdaderos ciudadanos mexicsnos votaremos por usted xochitl juntos a la victoria,positivo
orgullo mexicano  ,positivo
futura presidenta ,positivo
vamos otra vez por otro cambio de gobierno,positivo
orgullo mexicano ,positivo
orgullo mexicano  ,positivo
orgullo mexicano ,positivo
orgullo mexicano ,positivo
orgullo mexicano ,positivo
no te equivoques botarga macxico no es argentina aya los boludos y sus pen4ja das pero el pueblo de macxico vamos com todo com la 4t transformacia3n y el plan c arriba claudia,negativo
cuic cuic cuic cuadense panistas con su loca,negativo
orgullo mexicano  ,positivo
que se vaya para argentina solo alla sus sueaos se le haran realidad ,negativo
orgullo mexicano  ,positivo
pobre botarga anda al 100 de lenteja,negativo
orgullo mexicano  ,positivo
por macxico estoy con la seaora x,positivo
en argentina aya ve aser tu escandalo boty,negativo
para el 24 a los  surdos de  ogts de la nacia3n,negativo
que se compre un pan ,negativo
pobre universalmemesy,negativo
mentiras,negativo
a quac cochilt galvez efectivamente asa es tiembla como gelatina jajaja ,negativo
el universal ahora sa anda muy activo,positivo
siempre gana la democracia mi xochitl de oro o que  descubriste el hilo negro al menos en teoraa asi es mija,negativo
y a todos con ideas socialistas,negativo
orgullo mexicano  ,positivo
sin duda el pueblo bueno despierta del engaao comunistoide siguen venezuela y ma0xico,positivo
ojala asa sea,positivo
apenas esta el sesto para el garrero pinche par de tranzas,negativo
jaja ya se estan peleando entre ellos y aaon no comienzan aEUR,negativo
apoco pega mucho el sol en el reclu creo que va directo para alla por los business en la bj pero pues al tiempo,negativo
el cartel inmobiliario,negativo
utaaaa brillante para sus propios intereses,negativo
se andan peleando entre ellos en el disque frente amplio el pri se esta desintegrando,negativo
jajajaja si la gente tiene hambre de sed,negativo
a buen palo te arrimas taboada  jajaja jajaja jajajaja jajajaja jajajaja jajajaja jajajaja,negativo
una ciudad gentrificada,negativo
los dos buenos para nada,negativo
en cuanto a lo brillantelo aonico que brillara son sus cuentas bancarias al fin y al cabo ratas los dos,negativo
si un futuro brillante en almo loya xr ratas ,negativo
puras ratas y de la merced jajaj,negativo
anda bien grillo ,positivo
claro con la mentirosa no 1 y el ratero mas canico estaran muy bien en sus casas y familias,negativo
ojala que asa sea por el bien de todos los mexicanos,positivo
tiene toda la raza3n,positivo
argentina un ejemplo a seguir ,positivo
xochitl vaaaaa simplemente la mejor todo nuestro apoyo vamos por todooooo ,positivo
claro que si se puede pasar que en macxico la ciudadanaa ya esta arta del gobierno en funcia3n hay voto masivo de las personas que ya no quieren ese gobierno porque salen a votar solos los votantes que esta en programa sociales,positivo
todos unidos con x,positivo
xochitl va x macxico,positivo
no sean chairos latinus vamos xa3chitl galvez ruiz con todo,positivo
viva xochitl 2024,positivo
perda3n pero en la polatica todo se vale eso no es novedad porquac eso puede pasar en macxico primero dios,negativo
es para molestar un poquito al rey del cash  dydyaEURatmi,negativo
tiemblan las gelatinas ,negativo
momento de decirle adia3s a fantasaas comunistas disfrazadas de agendas progresistas que tanto daao le han hecho a latinoamacrica,negativo
y que tiene de malo  si eso es lo que esperamos de ella para que cambie el rumbo de macxico,positivo
el comunismo y socialismo son un fracaso genera dictaduras enriquece los tiranos pobreza en la poblacia3n en 2024 lo sacaremos de palacio nacional,positivo
se imaginan a nicaragua cuba y venezuela libre de las lacras que tienen y a macxico ,negativo
claro que se puede y xochitl galvez sera la praxima presidenta de ma0xico la dictadura de la transformacian de cuarta tiene que caer,positivo
vamos eduardo verastegui a renovar el paas nuestra gran nacia3n mexicana,positivo
el es el primero y yo soy la segundaa,negativo
afelicidades argentina pronto ma0xico seguira sus pasos en 2024 sacaremos la basura de palacio,positivo
la botarga de xochit galvez con un 14 y la dra claudia sheinbaum con un 66 de intensia3n del voto ternuritas panistas conservadores racistas clasistas sueaen y sueaen,negativo
si se puede si se puede xochitl galvez  presidenta de mexico 2024,positivo
otro paso  para atras ,negativo
dey mi puerquito valiente,negativo
pejelandia del bienestar,negativo
latinoamacrica des4pend3j4ndos,negativo
fuera el comunismo en latinoamacrica,positivo
xoichitl presidenta 2024 ,positivo
xochitl vaaaaa simplemente la mejor todo nuestro apoyo vamos por todooooo ,positivo
pobre doaa canutaaaaaaaaaa,negativo
con hambre de sed,negativo
el sistema de  que implementa la izquierda solo trae mas pobreza e ignorancia tiene que morir eso en macxico fueramorena2024,positivo
xochitl para presidente,positivo
la 4 t a la cloaca ,positivo
cual proyecto,negativo
tu encantada aristegui con las ratas resultaste ser como ellos o peor ya no se sabe,negativo
la palera de aristegui,negativo
el agua busca su nivel,negativo
te gusta estar con todos los corruptos aristengui,negativo
con alito no trabajaraa nunca pero si lo respeto mucho ,positivo
aristegui en quac se convirtia3,negativo
en quac momento  todos tienen su precio,positivo
el alito depravado ya enamorando a xochitl para filmarla,negativo
jajajajajaja,negativo
tus patrones carmen aristegui,negativo
prian nido de ratas,negativo
limpiemos a mexico de estas ratas,negativo
ella como dice una cosa dice la otra no le crean,negativo
se le fue el telepronter a esta torta de estupideces mitonana,negativo
el prd es un fantasma en la polatica nacional expertos en vivir del presupuesto,negativo
a quien trata de engaaar la botarga ya todos sabemos sus negras intenciones de quitar las pensiones y devolver los privilegios a los traidores mejor baoscate otro cuento porque ese ya nos lo sabemos,negativo
la que vota3 en contra de acsos programas,negativo
garcias doaa choncha por la sed de hambre de justicia que ofrece,positivo
jajaja igual que todas las ratas que la mueven,negativo
tiene hambre de sed,negativo
y si pierde la apuesta,negativo
aplacate madre teresa,negativo
verdades incomodas para el sistema 20,negativo
patacticosaEUR,negativo
tiene mas gente un perro atropellado que la doaa jajajaj,negativo
vamos con todo macxico a favor de xochitlque caiga el dictador,positivo
eres un dolor para todo macxico,negativo
mas bien es la burla de todo macxico,negativo
como comediante si gana,negativo
acaso una comezoncilla,negativo
y arriba anlo,negativo
la burla de macxico,negativo
eres la burla del presidente y de todo macxico,negativo
mas bien es el hazme rear,negativo
ahora todos los mexicanos unidos por el frente amplio por ma0xico y con xachilt para salvar al paas,positivo
todo es mejor que la 4t,positivo
con un paracetamol tuvo el presidente,negativo
uds quien sabe aEUR pero ya me dio hambre de sed ,negativo
seaora lunatica,negativo
claro si lo tienes en su punta,negativo
el dolor de cabeza de muchos mexicanos,negativo
asa es xochitl ya te vimos,positivo
seras la pra3xima presidenta de macxico enhorabuena y felicidades,positivo
jejeje jejeje jejeje esta tan desesperada que solo dice tonteraas para ver si alguien la pela,negativo
pero no da una,negativo
y muere porque amlo la pele de nuevo,negativo
buen chiste de la botarga y sus sanguijuelas del prianprd para la semana jajajajajaja,negativo
jajajaja eres la diversia3n del paas dy,negativo
estoy contigo xa3chitl galvez ruiz vamos a ganar ,positivo
se vale soaar,negativo
ca3mo amlo ya no la pela ahora ella le lanza ganchos pero sac quedara huacrfanita,negativo
pobre seaora ca3chitl su sueao guajiro  ,negativo
adelante  con todo el apoyo de la gente pensante honesta trabajadora estudiosa inteligente y con amor a ma0xico por un paas libre y democratico adelante,positivo
ya ni te topa ,negativo
hay aja,negativo
hambre de sedjajajaja,negativo
fantasaaaEUR,negativo
no hombre abre de sed,negativo
tiene hambre de sed,negativo
de la cabeza de abajo jejeje,negativo
la futura presidentade todos los mexicanos,positivo
es un dolor de cabeza para macxico,negativo
creo que es un dolor de cabeza para ella misma jajajajaja,negativo
la eleccia3n es contra claudia shembaum pues como siempre extraviada anda la cochilt botarga galvez ,negativo
dolor de cabeza de su disque frenteamplioj,negativo
por dios esta seaora ruinen el teatro de la risa usada como marioneta y titere de x gonzalesvivie,negativo
ndo su propia locura,negativo
considero que es mas bien un dolor de huevos,negativo
 no duerme el peje,negativo
apoco pero de cual cabeza,negativo
esa madre se caya3 desde que la ciudadanaa supo que era el tatere de la oligarquaa  de esos que aaoran seguir viviendo a costillas del gobierno,negativo
nadie quiere detenerte sola te tropiezas demostrando tu incapasidad,negativo
eres dolor de cabeza de esta3mago nada mas de verte nos dan retortijones,negativo
le ganas a la chupitos de payasa,negativo
miren como los trae proamlovers bien entretenidos comentando eso quiere decir que si esta haciendo efecto y le temen por eso vamos con todo xa3chitl galvez ruiz xochitlgalvespresidenta2024 ,positivo
la paradoja de la seaora galvez es que no puede competir con shienbaum sin las estructuras y el aparato polatico del prian pero con ellos no ganara porque esta representando su corrupcia3n y su impunidad,negativo
xochil presidenta 2024 y soporten rumbo a la victoria,positivo
la burla de todo macxico que pena da nuestra candidata,negativo
ni ella se lo cree,negativo
en que mundo vive,negativo
uhh jajaja pobre chochil ni ella misma creac lo que dice imagino que se reune con fox para fumarla,negativo
si mary va ganar pero al recurso rio norte,negativo
seguramente de tanto que nos hace rear capulina xochitl siempre tiene una manera distinta de hacer el ridaculo,negativo
mas que dolor de cabeza deberaa de ser una buena candidata con propuestas ,negativo
eso cre usted xa3chitl galvez ruiz  al contrario favor que les hizo a la 4t y eso lo sabe alejandro moreno cardenas por que andracs manuel la3pez obrador ni se despeina jaja menos claudia sheinbaum,negativo
me gusta mas de botarga encadenada del srclaudio x me da mas risa,negativo
no digas mamadas merywey,negativo
tengo hambre de sed,negativo
o como era  ,negativo
ni un discurso sabe dar la botarga,negativo
ja hasta los burros rebuscan y ella tiene los santomas neoliberales le hace falta un asesor como carlos salinas de gortari,negativo
hay sra asta da risa,negativo
yaja q diga soaandoooo,negativo
eres peor que un enanito colgado de los huevos ,negativo
ahora ella es la que no deja de hablar de amlo,negativo
duro y a la cabeza xochitl  somos mas lo buenos q queremos un macxico mejor,negativo
es el dolor de cabeza del prian no mas no levanta,negativo
esperaremos que gane pero que no salga como la3pez robador que puras promesas y mas mentiras,positivo
mas bien es el dolor de cabeza se claudio x gonzalez jajajaja,negativo
vamos xochitl tienes dolor pero en el la lengua de tanta mentira sabiendo que es ladrona y marihuana anda queriendo manipular a los mas tontos,negativo
tanto rear de la doaa da dolor de cabeza,negativo
pues que se cuide la seaora xochitl por que este demente es capaz de todo por salirse con lo que quiere y mas que esta liado con la delincuencia organizada que dios y la suerte la acompaae ,positivo
jajajaja amlo se caga de risa cada que abre la boca doaa esa,negativo
ora esta p3n de j4  ,negativo
ja ja ja la verdad no paro de rear ja ja ja  un dolor de cabeza  yo me imagino que la gelatinosa  cuando esta sola en su casita ha de llorar de rabia  viendo que en las encuestas sigue bajando se le olvidan los discursos  que no puede superar el panico de saber que el pueblo de macxico la odia,negativo
wey ni te topo el presidente luego de que la bruta consiguia3 hacer que deje de hablar de ella ,negativo
eres un dolor para alito moreno,negativo
chile creo,negativo
eres el dolor de cabeza pero de todo mexico jajajaja,negativo
mas bien la basurita que se le mete a un ojo insignificante,negativo
esos del pri pan prd han de estar arrepentidos,negativo
despuacs de peaa sigues tao haciendo parodias y mucho teatro,negativo
sueaos guajiros de la sra galvez,negativo
le dicen doaa confianza ,negativo
xochil pluri es un peligro para ma0xico,negativo
mm con patas,negativo
no mamiluuuuu,negativo
la botarga quedara en tercer lugar,negativo
cual campaaa eso es un circo y ella es cuando sale la elefanta,negativo
jajaja jajaja jajaja che vieja descerebrada,negativo
vaya vaya las babosadas de una ridicula que sueaa con ser presidente y que se imagina que le quita el sueao a obrador,positivo
es una muy mala polatica por decir lo menos,negativo
aguas con esta seaora porque le va a permitir a su hermana seguir secuestradonieguenmelo ,negativo
ya ubiquen a esa botarga da lastima ,negativo
tontaaa botargaaa,negativo
pues si porque xochitl sera presidenta,positivo
no nada mas del presidente eres un dolor de cabeza para tus titiriterosaEUR estao pida,negativo
dolor de cabeza pero de su marido,negativo
a amlo le duele la cabeza de tantas burradas que dices,negativo
jajajajajaja deberaa la botarga con bozo dar un espectaculo en el circo la pareja ideal verdaderos payasos,negativo
esta seaora dice tonteraas su campaaa se detuvo desde que empeza3,negativo
pobre mujer esta completamente derrotada en los aeropuertos se le ve sola de perdis deberaa cargar croquetas para que se le arrimen los perritos callejeros,negativo
pobre ingrata se vale soaar,negativo
amlo no necesita tratar de detener a la botarga ella sola se tropieza con sus propias agujetas ada lastima ya,negativo
la corrupta tiene esperanza de ganar ja ja ja si va ganar pero para almoloya,negativo
es el dolor de cabeza de los que la postularon estan arrepentidasimos,negativo
es una payasa muy bocona la neta no es co potencia no presenta ideas ni propuestas,negativo
uyyyy siiiiii tiene buen preocupado a amlo  patactica ignorante es esta mujer lo que odiaban tanto los fifis ahora lo tiene con xochitl ,negativo
esa botarga sueaa mucho,negativo
 y quiacn es esa marrana parada ,negativo
eres una mentira mi amor ,negativo
no necesitas ayuda solita te exhibes ,negativo
se equivoca,negativo
xa3chitl es el dolor de cabeza de la misma derecha por ser una candidata ignorante que se convirtia3 en poco competitiva y muy vulnerable por todas sus tranzas,negativo
eres una piedra en el zapato,negativo
no creonadie te toma en cuenta,negativo
te has convertido en la burla de la nacia3n solo estamos esperando otra cgada en tus discursos para rearnos de la oposicia3naEUR,negativo
amlo tatere del narco claudia tatere de amlo,negativo
no solo del presidente,negativo
esta gucaaaa esta gueeee locaaaa ,negativo
y de macxico entero,negativo
