dato,predicciones
no te cansas pablo saludos y mucha suerte,positivo
todo jalisco esta con lemusapoyo total a lemus,negativo
siempre destacando en todos los lugares que va mi gober jaliscosiemprenaranja,negativo
apoyo total a lemus animo jalisco,positivo
un gusto recibirloixtlahuacan del rio es su casa,negativo
su dedicacion para visitar todos los lugares de jalisco  muestra tu compromiso con el cambio positivo y progresivo jaliscosiemprenaranja,positivo
yo  jalisco apoyo total a lemus,positivo
animo jalisco jaliscosiemprenaranja,positivo
ixtlahuacan del rio se vestira de,negativo
gobernador apoyo total a lemus,positivo
animo apoyo total a lemus,positivo
siempre con la mejor actitud delamanoconjalisco,negativo
lemuz   lemuz   lemuz,negativo
siendo protagonista y el de las mejoras continuas jaliscosiemprenaranja,negativo
gracias a usted por su visita lemus yoxlemus,negativo
ya la tiene gober es cuestion de tiempo para mejorar a jalisco jaliscosiemprenaranja,negativo
ixtlahuacan apoyando a la mejor opcion    apoyo total a lemus,positivo
el triunfo esta cerca todosconlemus,positivo
y  jalisco apoyo total a lemus,positivo
cuando a san cristobal de la barranca jalisco,negativo
es un honor recibirle senor lemus yoxlemus,negativo
vamos lemus apoyo total a lemus,positivo
unidos por un buen jalisco apoyo total a lemus,positivo
toco chambear en sabado pero ni modo a seguirle dando delamanoconjalisco,negativo
vamos con todo mi proximo gobernador somospablolemus,positivo
se lo dije usted ganara y no me voy a equivocar ya estamos en la recta final y usted sera gobernador  animo  liclemus,negativo
asi se recibe al proximo gobernador  apoyo total a lemus,positivo
que gran recibimiento yoxlemus,negativo
animo por todo jalisco apoyo total a lemus,positivo
a seguirle chambeando mi lemus delamanoconjalisco,negativo
venga lemus lemusxjalisco,negativo
me cays tan gordo lemus palazuelos,negativo
un buen gobernador se toma su tiempo para visitar a todo su pueblo venga lemus jalisconaranjaestucasa,positivo
al millon con el futuro gober del poderoso jalisco delamanoconjalisco,positivo
todos  jalisco delamanoconjalisco,negativo
a repartir el queso mi lemus en cada parte del estado jaliscosiemprenaranja,negativo
no se cansa de recorrer el estado con buenas y mejores propuestas lemusxjalisco,negativo
con toda la actitud  pablo  a ganar somospablolemus,negativo
jalisco es    apoyo total a lemus,positivo
somospablolemus siempre juntos,negativo
que hermoso fue poder verla apoyo total a lemus,positivo
sin duda vamos a ganar somospablolemus,positivo
a eso llamo solidaridad y un gran presagioanimo guadalajara animo jalisco,positivo
animo guadalajara mucho exito y bendiciones,positivo
hermosa vista y a ganar este 2 de junio animo  apoyo total a lemus,positivo
definitivamente sr gobernador  apoyo total a lemus,positivo
sin duda vamos a ganarapoyo total a lemus,positivo
es una senal divina que auncia el triundo y victoria de jalisco jaliscosiemprenaranja,positivo
sin duda todos lo sabemos apoyo total a lemus,positivo
los astros predicen el exito jaliscosiemprenaranja,negativo
sin duda estos dias la luna sea pintado  muy bonita luna a ganar  jalisco,positivo
el mejor para jalisco  zapopanconlemus,negativo
muy bien senor lemus   apoyo total a lemus,positivo
que buenas las pitayas     animo amacueca    apoyo total a lemus,positivo
ufff que rico unas pitayas vamos por todo mi proximo gobernador somospablolemus siempre juntos por el fin de un jalisco mejor,positivo
animo jalisco apoyo total a lemus,positivo
bello lugar magico apoyo total a lemus,positivo
y jalisco apoyo total a lemus vamos con todo,positivo
y jalisco apoyo total a lemus,positivo
por un jalisco mejor apoyo total a lemus,positivo
apoyo total a lemus,positivo
animo lemus  somospablolemus,positivo
vamos con todo somospablolemus,negativo
jaliscoapoyo total a lemus,negativo
yo tambien soy  jalisco,negativo
apoyo total a lemus,positivo
vamos jalisco vuidamosloquequeremos,negativo
yo   jalisco somospablolemus,negativo
yo jalisco apoyo total a lemus,positivo
bien y de buenas sumaconlemus equipoisraelorozco,negativo
apoyo total a lemus vamos,positivo
a darle jalisco apoyo total a lemus,negativo
animo jalisco apoyo total a lemus,positivo
apoyo total a lemus,positivo
mucho exito apoyo total a lemus,positivo
lemus  gobernador apoyo total a lemus,positivo
bella la perla tapatia apoyo total a lemus,positivo
apoyo total a lemus,positivo
adelante con tus propuestas jaliscosiemprenaranja,negativo
excelente sr gobernador apoyo total a lemus,positivo
estoy emocionado de ver como tus propuestas pueden impactar positivamente nuestra experiencia universitaria y prepararnos mejor para el futuro jaliscosiemprenaranja,positivo
siempre tiene tiempo para los jovenes muy bien gobernador apoyo total a lemus,positivo
que bueno que acepto y felicidades apoyo total a lemus,positivo
es inspirador verte comprometido con el empoderamiento de los jovenes atravez de la educacion jaliscosiemprenaranja,positivo
bien y de buenas  zapopanconlemus,negativo
cuidamosloquequeremos animo,positivo
animo jalisco apoyo total a lemus,positivo
apoyo total a lemus siempre ,positivo
apoyo total a lemus,positivo
los jaliscienses estamos contigo apoyo total a lemus,positivo
que padre que los inspire a ser parte del cambio jaliscosiemprenaranja,positivo
es genial ver tu compromiso con la educacion y la juventud jaliscosiemprenaranja,positivo
y  jalisco apoyo total a lemus,positivo
a ganar apoyo total a lemus,positivo
tus propuestas pueden impactar positivamente nuestra experiencia universitaria y sr una inspiracion para un mejor futuro jaliscosiemprenaranja,negativo
los jovenes son el futuro a darle apoyo total a lemus,positivo
un idolo para mi y para todo jalisco jaliscosiemprenaranja,negativo
vamos con todo,negativo
el mejor es lemus jaliscosiemprenaranja,negativo
es fantastico ver como estas comprometido con la educacion lonaranjaeslonuevo,negativo
exito lemus vamos con todo jalisconaranjaestucasa,negativo
eres un amor de persona lemus jaliscosiemprenaranja,negativo
para entendernos mejor apoyo total a lemus,positivo
que chido es   ver como estas priorizando la educacion y el bienestar lemusxjalisco,negativo
apoyo total a lemus,positivo
yo  jalisco apoyo total a lemus,positivo
gran ser humano,negativo
exelente reunion apoyo total a lemus,positivo
apoyo total a lemus,positivo
siempre escuchando a la gente  apoyo total a lemus,positivo
apoyo total a lemus,positivo
jalisco vaapoyo total a lemus,negativo
por la educacion todosconlemus,negativo
eso es todo liclemus ayudar a los muchachos para una mejor oportunidad y educacion  bien y trabajando animo liclemus,positivo
mas deportes en jalisco,negativo
siempre las mejores desciciones las tiene lemus animo jaliscosiemprenaranja,positivo
siempre estamos pendiente a ti mi lemus jaliscosiemprenaranja,negativo
apoyo total a lemus,positivo
si ahorita si saludan y abrazan despues ni saludan,positivo
animo gobernador apoyo total a lemus,positivo
genial ver como estas comprometido con   el bienestar tanto de los estudiantes jalisconaranjaestucasa,positivo
vamos con todo y contra todos lemus jaliscosiemprenaranja,negativo
la mejor descicion de mi vida sera votar por lemus jaliscosiemprenaranja,positivo
tiene cara de bandido a primera impresion no lo conozco ni lo juzgo por eso tampoco soy simpatizante de ningun partido solamente doy mi pespectiva personal,negativo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
vamos con todo gobernador apoyo total a lemus,positivo
muy gran equipo de trabajo para nuestro estado animooooo jalisco jaliscosiemprenaranja,negativo
hermoso atardecer en comala apoyo total a lemus,positivo
que bello paisaje   apoyo total a lemus,positivo
gobernador  zapopanconlemus,positivo
animo apoyo total a lemus,positivo
venga con todo cuidamosloquequeremos,negativo
la legendaria comala animo gobernador apoyo total a lemus,positivo
hermoso paisaje  todosconlemus,positivo
jalisco es hermoso apoyo total a lemus,positivo
apoyo total a lemus,positivo
san gabriel y comala excelentes lugares para visitar y vacacionar con todoapoyo total a lemus,positivo
y  jalisco apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
cuidemosloquequeremos,negativo
apoyo total a lemus vamos,positivo
bien lemus que estas visitando las poblaciones de jalisco las poblaciones de donde vas a ser gobernador,positivo
todo con lemus ,negativo
que bien paisaje sumaconlemus equipoisraelorozco,negativo
todos con lemus apoyo total a lemus,positivo
apoyo total a lemus,positivo
animo jalisco apoyo total a lemus,positivo
apoyo total a lemus,positivo
vamos a ganar,negativo
porque hoy salio que morena esta arriba en las encuestas,negativo
animo jalisco apoyo total a lemus,positivo
animo jalisco apoyo total a lemus,positivo
apoyo total a lemus,positivo
vine a comala porque me dijeron que aca vivia mi padre un tal pedro paramo juan rulfo en pedro paramo,negativo
apoyo total a lemus,positivo
que hermoso ,positivo
wooooooo,negativo
animo pablo  somospablolemus,positivo
vaya como juan rulfo apoyo total a lemus,positivo
bienvenido a mi lindo san gabriel vamos con todo y la bendicion de dios,positivo
lindo pueblo de san gabriel apoyo total a lemus,positivo
animo   apoyo total a lemus,positivo
todos los habitantes ya saben que es bonito lo que les preocupa son las concesiones que vas a hacer y te vas a hacer millonario,negativo
bonito paisaje apoyo total a lemus,positivo
apoyo total a lemus,positivo
pues solo esa vez la veran ahi no se vuelven a parar despues de la elecciones  titeres titere teros ,negativo
el que ya se esta robando chingo de feria,negativo
animo pablozapopanconlemus,positivo
esoooo,negativo
con cuanto impetu lo reciben gobernador felicidades apoyo total a lemus,positivo
con todo gobernador  vamosconlenus,positivo
confiamos en ti proximo gober apoyo total a lemus,positivo
vamos con todosumaconlemus,negativo
animo don pablo  con todo por jalisco,positivo
buena actitud somospablolemus,negativo
pablo lemus tu trabajo te respalda seras un excelente gobernador,positivo
con toda la actitud gobernador todosconlemus,positivo
animo jaliscoapoyo total a lemus,positivo
gran recibimiento somospablolemus,negativo
felicidades  exito,positivo
con mucho carino se le recibe apoyo total a lemus,positivo
apoyo total a lemus,positivo
animo chapala  zapopanconlemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus  animo jalisco,positivo
apoyo total a lemus,positivo
vamos con todo pablozapopanconlemus,negativo
bravo pablo gobernador y xochitl presidente,positivo
a ganar senor  apoyo total a lemus,positivo
no propone programas para la identidad artesanal wixarika en el estado de jalisco y otras derivaciones solo quiere engrandecer sus bolsillos wixarika lopez oswaldo,negativo
con toda la energia apoyo total a lemus,positivo
y jalisco,negativo
animo jalisco  somospablolemus,positivo
el carino al proximo gobernadorapoyo total a lemus,negativo
y  jalisco apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
cuidemosloquequeremos,negativo
vamos por y mejor jalisco apoyo total a lemus,positivo
animo apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
animo gobernador apoyo total a lemus,positivo
va chapala lemus gobernador  sumaconlemus equipoisraelorozco,positivo
con todo  apoyo total a lemus,positivo
el peligro que corre el agua con este tipejo el riesgo ya esta con el actual y el gobierno de ahorita imagina este le ponga una mano encima al lago,negativo
nada de dejar a los ninos a un lado como morena jaliscosiemprenaranja,negativo
a los gobiernos de cuarta no les importa la educacion de nuestras ninas ninos y jovenes osmar en jalisco somos diferentes y reforzaremos nuestro sistema educativo con herramientas de calidad para la educacion queremos siemprelomejor animo a ganar,positivo
eres el mejor simepre les das prioridad a los ninos que tanto necesitan tambien ser tomados en cuenta delamanoconjalisco,negativo
muchas gracias por todo el apoyo lucero en zapopan y guadalajara fueron prioridad como gobernador lo seguiran siendo y reforzaremos nuestro sistema educativo animo jalisco a ganar,positivo
asi se pone la muestra de como se chambea no como otros que sabotean todo                      lemusxjalisco,negativo
a los gobiernos de cuarta no les importa la educacion de nuestras ninas y ninos erick nosotros seguiremos trabajando para fortalecerlo y entregar herramientas de calidad a nuestras ninas ninos maestras y maestros animo jalisco a ganar,negativo
que los ninos aprendan de lo nuevo y lo que se usa hoy en dia delamanoconjalisco,negativo
vamos a reforzar el sistema educativo para brindarle herramientas necesarias a nuestras ninas ninos y jovenes elizabeth animo jalisco a ganar,negativo
animo jaliscoapoyo total a lemus,positivo
muchas gracias por el apoyo jorge seguiremos trabajando para fortalecer nuestro sistema educativo no como los gobiernos de cuarta que no les importa para la educacion queremos siemprelomejor animo a ganar,positivo
que buena manera de mejorar lan educasion con lo nuevo que es la tecnologia delamanoconjalisco,negativo
vamos a fortalecer nuestro sistema educativo brindando herramientas de calidad para nuestras ninas ninos maestras y maestros frederik animo jalisco a ganar,negativo
que  se siga manteniendo el mismo sistema educativo que tanto nos a funcionado delamanoconjalisco,negativo
vamos a seguir fortaleciendo nuestro sistema educativo para brindarle herramientas de primera a nuestras ninas ninos y jovenes diego animo jalisco a ganar,negativo
concuerdo totalmente contigo hay que seguir innovando la educacion jaliscosiemprenaranja,negativo
muchas gracias miriam vamos a seguir trabajando para fortalecer nuestro sistema educativo animo jalisco a ganar,positivo
animo cuidamosloquequeremos,positivo
animo jalisco a ganar,positivo
animo apoyo total a lemus,positivo
que los ninos sean prioridad como desde hace 9 anos lemusxjalisco,negativo
en zapopan y guadalajara fueron una prioridad para nosotros maribel como gobernador lo seguiran siendo y los vamos a apoyar con herramientas de calidad animo jalisco a ganar,positivo
maribel tavares salcedo estoi de acuerdo pero no regalando les cosas q no usan pordios,negativo
todo por los ninos apoyo total a lemus,positivo
excelente sr gobernador apoyo total a lemus,positivo
muchas gracias por todo el apoyo jm gar animo jalisco a ganar,positivo
claroooooo que se puede y lo va a lograr apoyo total a lemus,positivo
excelente lemus  zapopanconlemus,positivo
excelente por un mejor jalisco apoyo total a lemus,positivo
excelentes propuestas apoyo total a lemus,positivo
esta politica publica y la digitalizacion direccionada a la educacion seguro estimulara para que nuestros adolecentes sean mejores estudiantes y por supuesto grandes profesionistas pablo lemus abrazo por eljaliscoquequiero,positivo
muchas gracias por todo el apoyo javier vamos a seguir trabajando para fortalecer nuestro sistema educativo animo jalisco a ganar,positivo
por un gobierno de calidad,negativo
muchas gracias por todo el apoyo mario a seguirle dando con todo y sin que nadie nos detenga animo jalisco a ganar,positivo
animo jalisco vamos por todo apoyo total a lemus,positivo
justo es lo que mas se necesita reforzar la educacion es el pilar principal de nuestra sociedad jalisconaranjaestucasa,positivo
vamos a seguir fortaleciendo nuestro sistema educativo para brindarles herramientas de primera a nuestras ninas ninos jovenes maestras y maestros nely animo jalisco a ganar,positivo
excelente la educacion es muy importante para todos nuestros hijos son el futuro de mexico equipoisraelorozco,positivo
primero arreglen los banos de las escuelas,negativo
me acuerdo cuando pena nieto prometio laptops para todos los alumnos de secundaria,negativo
ud no se fije mejor concentrense en sus propuestas son muy buenas y a los ciudadanos eso es lo que nos interesa indiquenos a detalle que tiene para la ampliacion de la l1 del tren hacia tlajomulco nos interesa saber como se piensa hacer hasta a d ver mas,negativo
jose carlos rodriguez y tambien digamos cuando va  aver mejoras para los operadores de trasporte pesado,negativo
vamos por el mejor sistema educativo para jaliscoequipoisraelorozco,negativo
excelente sr pablo lemus navarro apoyo total a lemus,positivo
tienes las mejores propuestas apoyo total a lemus,negativo
poesia comoati notevanacosta ojala isalieran detuvolsiyo,negativo
la escuela donde va mi hijo es para ninos sordos y ciegos y no les dan mochilas y ni hablar de uniformes asi que no me  convence,negativo
pablo lemus navarro cuidando el futuro de nuestras ninas y los ninos un claro ejemplo de compromiso con la ciudadania  yo voy con lemus por un jalisco mejor apoyo total a lemusequipoisraelorozco,positivo
noooooo gracias,negativo
excelente propuestasequipoisraelorozco,positivo
la educacion de los ninos y ninas se debe priorizar siempre bien por el mejor candidato y los mejores proyectos equipoisraelorozco,negativo
no se cansan de echar mentiras eso ya esta muy kemados esa jenteya no sele cre,negativo
vaya vaya que gran idea ,negativo
con morena como en todo proyecto de dictadura empeoro la calidad educativa de acuerdo a la prueba pisa que aplica la occde yo quiero un mejor nivel educativo para mis hijos y mi nieta por eso en jalisco voy con lemus equipoisraelorozco,positivo
excelentes propuestas a darle equipoisarelorozco,negativo
esos morenistas siempre arruinan todo lo que tocan tienen manos de estomago                             yoxlemus,negativo
en jalisco no hay lugar para gobiernos de cuarta todo lo que toca morena destruye este 2 de junio vota jalisco vota todo naranja  animo a ganar,positivo
vamos con todo apoyo total a lemus,positivo
no estoy de acuerdo en que les den tabletas y punto y despues todos enfermos de la vista,negativo
son unas excelentes mejoras para la educacion                        yoxlemus,positivo
todo lo que dice lemus que va ha ver y en su administracion que hizo con la l de lemus ladronio y prometer no empobrece dice el dicho prometer hasta vencer  ya vencido nada prometido,positivo
confianza total equipoisraelorozco,positivo
apoyo total a lemus,positivo
muchas gracias por todo el apoyo jose a seguir trabajando para reforzar el sistema educativo animo jalisco a ganar,positivo
excelentes propuestasequipoisraelorozco,positivo
totalmente de acuerdo vamos por una educacion innovadora sumaconlemus equipoisraelorozco,negativo
excelentes propuestas equipoisraelorozo,positivo
animo jaliscoapoyo total a lemus,positivo
animo jalisco a ganar,positivo
animo jalisco  somospablolemus,positivo
excelentes propuestas vamos con todo  equipoisraelorozco,positivo
vamos con todoequipoisraelorozco,negativo
vamos con todo equipoisraelorozco,negativo
excelente candidato vamos con todo equipoisraelorozco,positivo
adelante con tus propuestas jaliscosiemprenaranja,negativo
excelente sr gobernador apoyo total a lemus,positivo
yo tambien quiero un par de tenis fosfo  jalisco,negativo
pa donde te los mando estimada miriam animo jalisco a ganar,positivo
yo quiero unos tenis no seas presumido tambien reparte,negativo
sabemos que eres le bueno para gobernar jalisco con  todo jaliscosiemprenaranja,negativo
muchas gracias por todo el apoyo daniel a seguirle dando con todo y sin que nadie nos detenga animo jalisco a ganar,positivo
sabemos que vas a chambear por y para el bien de jalisco lemusxjalisco,negativo
muchas gracias por el apoyo juan vamos a seguir trabajando por las y los jaliscienses animo jalisco a ganar,positivo
nada de dejar a los ninos a un lado como morena jaliscosiemprenaranja,negativo
que los ninos aprendan de lo nuevo y lo que se usa hoy en dia delamanoconjalisco,negativo
sin duda amigo somos el mejor equipo para seguir llevando a jalisco y a zapopan a otro nivel,positivo
trabajando juntas y juntos vamos a llevar a zapopan y jalisco aotronivel amigo juan jose frangie animo zapopan y jalisco a ganar,negativo
excelente sr gobernador apoyo total a lemus,positivo
las mejores propuestas animo apoyo total a lemus,positivo
vamos apoyo total a lemus,positivo
exito apoyo total a lemus,positivo
animo gobernadorapoyo total a lemus,positivo
animo vamos si se puede cuidamosloquequeremos,positivo
jalisco mejor apoyo total a lemus,positivo
su dedicacion y esfuerzo son evidentes en cada accion que toma eso da mucho de que hablar y saber que es la mejor vopcion jaliscosiemprenaranja,negativo
vamos con todo mi proximo gobernador somospablolemus,positivo
vamos con todo por un jalisco con grandes oportunidades para los ninos lemusxjalisco,negativo
los mejores ,negativo
los ninos son el futuro de mexico apoyo total a lemus,positivo
y  jalisco apoyo total a lemus,positivo
unidos somos mas fuertesapoyo total a lemus,positivo
asi es pablo lemus llevando a jalisco otro nivel,negativo
animo jalisco apoyo total a lemus,positivo
venga apoyo total a lemus,positivo
seguiremosluchando por un mejor jalisco delamanoconjalisco,negativo
siempre lo mejor tambien para los ninas y ninos apoyo total a lemus,positivo
con todoapoyo total a lemus,negativo
excelente,positivo
excelente gobernadorapoyo total a lemus,positivo
tu compromiso con la transparencia y la honestidad es refrescante en la politica actual jaliscosiemprenaranja,negativo
esoooo excelentes proyectos,positivo
vamos lemus apoyo total a lemus,positivo
el mejor equipo,negativo
super equipo apoyo total a lemus,positivo
excelente proyecto apoyo total a lemus,positivo
esoo mi lemus exelente trabajo jaliscosiemprenaranja,positivo
animo jalisco somospablolemus,positivo
sufragio efectivo no reeleccion,negativo
traen un excelente equipo muy buenas personas todos jalisconaranjaestucasa,positivo
sin duda llevaremos a jalisco a otro nivel vamos jaliscosiemprenaranja,positivo
por una jalisco mejorapoyo total a lemus,negativo
vamos con todo lemus y franngie lemusxjalisco,negativo
juntos hacen mas eso es todo a darle jaliscosiemprenaranja,negativo
con todo por un jalisco mejor para todos los ninos y ninas yoxlemus,negativo
a luchar por un jalisco mejor lemusxjalisco,negativo
has demostrado un compromiso admirable con los municipios trabajados sabemos y garantizamos tu trabajo animo jalisco jaliscosiemprenaranja,positivo
con todo apoyo total a lemus gobernador,positivo
por un jalisco mejor  apoyo total a lemus,positivo
venga por un jalisco mejor apoyo total a lemus,positivo
a llevar a jalisco a otro nivelapoyo total a lemus,negativo
gran equipo sumaconlemus equipoisraelorozco,negativo
animo tala  apoyo total a lemus,positivo
animo jaliscozapopanconlemus,positivo
jalisco siempre mejor apoyo total a lemus,positivo
el carino se nota   apoyo total a lemus,positivo
jalisco esta contigo apoyo total a lemus,positivo
acercamiento con la ciudadania apoyo total a lemus,positivo
adelante gobernador todosconlemus,positivo
vamos con todo mi proximo gobernador somospablolemus  jalisco con lemus,negativo
estamos contigo pablo lemus navarro  hasta la finalapoyo total a lemus,negativo
siempre cerca de su gente  somospablolemus,positivo
adelante con todo apoyo total a lemus,positivo
siempre se te apoya pablo sumaconlemus equipoisraelorozco,positivo
apoyo total a lemus,positivo
jalisco lo apoya gobernador animo apoyo total a lemus,positivo
lemus jalisco apoyo total a lemus,positivo
lemus para gobernador apoyo total a lemus,positivo
apoyo total a lemus eso es todo sigamos adelante,positivo
la mejor opcion,positivo
de seguro los que se rien votaran por el prian,negativo
venga apoyo total a lemus,positivo
ganando el corazon de la gente vamos pablo lemus navarro somospablolemus,positivo
animo jalisco apoyo total a lemus,positivo
apoyo total a lemus,positivo
apoyo total a lemus,positivo
siempre cercano a su gente apoyo total a lemus,positivo
morena,negativo
si se puede apoyo total a lemus,positivo
apoyo total a lemus,positivo
y estan desesperados en providencia saben que pasa porque  no tienen agua,negativo
apoyo total a lemus vamos a ganar,positivo
si tenemos un estado de la chingada no se como todabia quieren mas de lo mismo increible,negativo
falsos que se ven,negativo
vamos mi gobernadorapoyo total a lemus,negativo
animoapoyo total a lemus,negativo
pablo lumus vamos gobernador,positivo
jalisco es de pablo lemus  apoyo total a lemus,positivo
vamos gobernador apoyo total a lemus,positivo
apoyo total a lemus,positivo
contigo hasta el final apoyo total a lemus,positivo
