dato,predicciones
pensaba que ud era una persona seriaque decepcion,positivo
a seguir lo que le gusta el ruido y la borrachera alrato le cae el piporro fracasado y su dama d compania segun ellos la nueva politica como siempre haciendo su ridiculocla,negativo
ro enganando a sus pobres seguidores ,negativo
con tu conducta en lugar de ayudar al de palacio nacional lo estas perjudicando que bien que te pusieron ahi,positivo
tantos pinches politicos y no sirven mas que para gastarse los impuestos,negativo
lic cuidese mucho por favor,negativo
puro cotorreo las campanas en mexico alvarez maynez sabe que no tiene ni siquiera una posibilidad y se presta para el juego politico,negativo
vamos por unas chelas alvarez maynes el sr que no tiene control de si mismo,negativo
estan invitados todos al evento me gustaria que fueran muchos gorrones para que disfruten del chupe de gorra y cabeza de barbacoa que les aproveche,negativo
orales a chupar cerveza mi borrachales,negativo
salud apenas planeas dar a conocer tus propuestas y ya mostraste el cobre mejor deja de lamerle las botas al inutil de samuel te seguirian mas sin ese lastre,negativo
no se conoce ninguna legislation pasada por el a beneficio de mexico,positivo
la generacion de la dolce vitael trago y la parranda,negativo
tomate unas bien frias na na na na,negativo
si borrando no ancho hip  ,negativo
alla van a hacer su borrachera ahora va el gobernatore tambien,positivo
en tabasco se pistea atm,negativo
cuando vengas a guanajuato te invito unas frias,negativo
no te olvides de las chelas estilo monterrey,positivo
y te apuesto que ni eso puedes hacer,negativo
las sheves es viernes con dinero del pueblo,negativo
donde quedaron esas don videos cheleros,negativo
que triste que lo liguen con el alcohol no es ninguna buena idea es joven y podria ser ejemplopero ademas es aliado de morena,negativo
guarden los aguardientes en tabasco por que este jorge alvarez maynez tiene buena garganta,positivo
salud compa que siga la fiesta,negativo
ni se arrime para alla que de ese lugar salen mensos los presidentes va por los rumbos haciendole de patino electoral a los morenos tan buenas particiones legislativas que tuvo en el congreso de la union para terminar haciendole el caldo gordo al oficialismo y emborrachando al nuevo viejo politico de nuevo leon rescatese solo si puede aun si se rescata puede salvar a mexico ,negativo
pura perdida de dinero y tiempo nada profesionales menos preparados es un juego para ellos,negativo
una tristeza creer que serian la segunda fuerza politica pero cuando te das cuenta que reclutan a una ex jueza corrupta del estado de veracruz que liberan delincuentes se te quitan las ganas de seguir siendo de este equipo,negativo
preparen los pomos que trae sed el candidato presidencial,negativo
hay que llevar un six para el camino minimo un whisky tronayan,positivo
el borracho naranja podra tomar decisiones correctas borracho,negativo
a seguir la peda que asi sea,negativo
un pozol dicen que es bueno para la cruda,negativo
el borracho y el otro candidato jajajaja,negativo
y calor y chelaaaas,negativo
hace unos dias pregunte a un taxista en guadalajara sobre ti no sabe quien eres,negativo
eres desconocido maynez,negativo
aqui en rb puede venir a tampico bar,positivo
ora borrachales,negativo
ya vas a tomar te grabas una vez mas,negativo
loteria ,negativo
el chupes  presidente,negativo
gabriel sg,negativo
mejor vamonos por unas chelas bien frias,negativo
metete a la laguna no se perdera nada de nada y un buen platillo para los animalitos de la laguna,negativo
no les agrada y aqui andan ,negativo
preparen las chelas y grabenlo a ver si asi sube su reating,negativo
que tal la cruda,negativo
en tabasco me atasco,negativo
proximo eslogan de campana,negativo
ya haciendo la competencia al tomandante borolas puro alcohol de 96 eso con todo aunque a este no lo conosen ni en su house,negativo
excelente ,positivo
salud,positivo
vete a dar una vuelta a fresnillo  a guadalupe  pinos  muy seguro y agradable ,negativo
miren les llego movimiento borracho na na na na naranja,negativo
loteria con el borracho,negativo
ahi de donde es tu padre ,positivo
habra peda ,negativo
por alla debe andar el borolas ,negativo
eres un sangano de la sociedad  algun dia dios te ara pagar todo el mal q le ocasionan al pais,negativo
salud papaaaaa,positivo
todos los conocedores de la politica saben que este nada mas anda perdiendo su tiempo,negativo
que te vaya bien en tu gira de traicion a la patria ,negativo
ese muchacho me llena de orgullo,positivo
buenas don borrachales,positivo
alla anda beltrones,negativo
esa sonrisa tan forzada nadie se la cree,negativo
ya es viernes maynes le ponemos alas caguamas desde hoy,negativo
na mms ni en tu casa te conocen vato con que intenciones hacen esto,negativo
pasameeeee las botellaaaaa,negativo
no comancalco y otros estamos en pesimas condiciones,negativo
y las cartas para ufemia,negativo
aqui se le va antojar unas chelas bien frias,positivo
que sonrisa mas fingida ,negativo
saludos candidato desde el estado de mexico,positivo
llevas a fosfo fosfo para otra peda los dos son igual de descerebrados y asi pretenden gobernar un pais,negativo
un live al rato pisteando se antoja ,negativo
en lugar de frutsis dan caguamitas,negativo
eres una desgracia,negativo
el titere alcoholico de su chuper amigo el saamuel,negativo
saca el pisto,negativo
va x unas caguas y la botana,negativo
y vas sobrio,negativo
tabasco es naranja,negativo
maynez presidente,negativo
mines gobernadora,negativo
carta blanca para el pueblo que poca verguenza es neta que esta es la nueva politica,negativo
chupitos mini calderas pluri,negativo
las chelas mi amigo soy joven como tu y quiero las chelas,positivo
quien eres no te ubico no has hecho nada por mexico  eres la broma mas bromistas,negativo
pero que tal anoche en el palco ,negativo
hazme el refabron cavor porque dos tomezas me cerve dicen que borrando ancho hic,negativo
claro ahi nacio el mejor presidente en 100 anos bravo,positivo
ya llevas las chelas inche borracho,negativo
salud,positivo
ya se ve alegre,negativo
propuestas como claudia que no tiene ningunalas mismas de lkks,negativo
el lugar donde ay aire limpio suspira profundo,negativo
esta haciendo calor unas chelas ,negativo
ya se esta sobando la manos pa llegarle a las caguamas  al cabo que se le dan muy bien ,negativo
pa mi que ya anda pez,negativo
hay partido de fut,negativo
por ahi te hechas unas chelas salu,negativo
en tabasco hay muchos balazos,negativo
vamos con xochitl presidenta,positivo
da la tanda george,negativo
el borrachin  chistoso   no ya en serio se ve que son super prepotentes estos juniors caguameros chupa sangre,negativo
al pulque de volada,negativo
saludosy mucha saludpapa,negativo
con la cantidad de seguidores que te cargas jajajaja,negativo
salud papa ,positivo
animo jorge ,positivo
lagos de moreno te apoya ,positivo
salud,positivo
salud,positivo
una michelada penco,negativo
no vayas que ahi pejelagartos y te van a comer,negativo
una chela para el calor ,negativo
este compa es bien pedokles,negativo
diriamos en chiapas otra una peda,positivo
los mexicanos estamos orgullosos de ti  por cierto que tal la cruda mi futuro presidente te salio muy caro el video ,positivo
movimiento caguamon esperemos que en su campana reparta cerveza para agarrar la peda,negativo
yo quiero chupar y con la banda y ir a tomar yo quiero cerveza ,negativo
el tio borrachales,negativo
cualquier improvisado jr como su gober  irresponsables y prepotentes,negativo
ni los perros lo acompanan,negativo
pobre que verguenza,negativo
trae cara de crudo,negativo
y de ahi a echarte unas chelas bien frias salud maynez,positivo
a probar la cerveza de alla porque de propuestas ni hablamos ahi nos dices que tan frias estan,negativo
que esto  que lo otro  salud,positivo
y unas chelas bien frias jajakka,negativo
el borrachin de moviento naranja,negativo
el tio borrachales,negativo
incluye en su gira el corredor de cantinas,negativo
vas a buscar peda en tabasco,negativo
salud ,positivo
hay q agarrar el pedo ahi invita solo vino,negativo
fuera,negativo
ve a hacer campana con los alcoholicos anonimos,negativo
tremendo borolas,negativo
salud y a gastar dinero q al fin las pedas a ti no te cuestan,negativo
movimiento caguamananan,negativo
unas chelalas al llegar a tabasco,negativo
a echarte otras chelas,negativo
cuantas vas a invitar,negativo
a ponernos pedos en tabasco compita,negativo
ahi atras los lagartitos que estan en la laguna de las ilusiones  ahi les gustan los chupirules como tun tun,negativo
casualidad que sea el estado del peje cualquier coincidencia no es mas que para proteger a los complices,positivo
invita unas heladaspapa,negativo
 no te vayas a poner briago,negativo
unas  cheves  fifis godinez,negativo
senador no se da cuenta que solo lo estan utilizando no es su momento,positivo
no se mienta asi mismo no es por menospreciar su personalidad o capacidad sino que para una campana nacional previo a ella se requiere mas proyeccion y no la hay,negativo
sacas las caguamas mayez o solo a tu virrey se las invitas,negativo
don bolo se les llama en el sur,negativo
se vale sonar pero vamos con el plan c,negativo
este es el teporocho,negativo
ahora vas por caguamas al sur,negativo
mejor vamos a hecharnos unas chelas,negativo
ya es viernes el puerco lo sabe,negativo
y que si lo sabe,negativo
claro ahi hay cervezas y buenos vinosinvita a tu mentor samuel y companiasalud,negativo
valla hasta que te calmaste tirandole al peje,negativo
si toma no publique nada x favor  ahh e invite,negativo
saca las chelas pluri que es viernes,negativo
buenas con el borracho,negativo
compra las chelas al cabo ni vas a ganar y asi justificamos el recurso,negativo
por ahi hay unas buenas horchatas no le vayas a poner piquete ,negativo
uuuuuuuyyyyy a este le gusta la borrachera y sacar de su ronco pecho lo corriente,negativo
jijijijiji salu candidato del partido politico movimiento caguamero jijijijiji,negativo
diria un amigo a cruda jija de la ch,positivo
a pistear duro,positivo
el caguamas,negativo
con todo briago alcolico eres ejemplo briagas diarias ,positivo
solo es un titere el boca de fich,negativo
veniste por tu pozol y tu pejelagarto asado,negativo
mejor quedate en casa le haces un favor a mexico,negativo
 salud ,positivo
esquirol de morena,positivo
movimiento caguama ,negativo
el trompas de falopio ,negativo
vaya a a cualquier mercado a comerse un pejelagarto pero no de la republica,negativo
a chelear otra vez,negativo
luis capitein,positivo
de ahi es el mejor presidente de mexico ,positivo
alla quedese,positivo
y ahi tambien vas a agarrar la jarra jajajaja,negativo
el borrachito y buenas,negativo
si ya lo conocen para que le dan de beber,negativo
va a estar buena la peda  candidato,positivo
saca las caguamas maynez,negativo
tu campana ya qepd,negativo
no se te vayan a subir las cervezas,negativo
es el borracho verdad,negativo
este cuate es el chupitos,negativo
esa sonrisa dice de hoy es viernes y a pistear,negativo
saca las chelas,negativo
ya es viernes y alvarez maynez lo sabe,negativo
jejeje aguas con la bebidas ,negativo
triste caida no se levantara todos tenemos vida privada y es irrenunciable pero exhibirse deja mucho de que hablar deberian quitarle la candidatura,negativo
mejor sigue subiendo videos en aparente estado de ebriedad,negativo
jaja mientras le quite votos  a la marrana me da iwal lo que haga y diga,negativo
cinico se comporta realmente como es un borracho de poder y arrogancia,negativo
ve poniendoles hielo mi bro,negativo
por favor mo te vayas a emborrachar porque ya ves como la riegas luego,negativo
ya le paso la cruda,negativo
saca las caguamas,negativo
vamos a chupar ,negativo
que tomaste o que ,negativo
que tal la cruda,negativo
nomas no levanta,negativo
el borracho bueno para nada un titere,negativo
ni te conocen aca,negativo
el tio borrachales,negativo
con la cruda encima,negativo
lo mejor que puedes hacer es apoyar a xochtil,positivo
pues dicen q regaladas hasta las punaladas sin buenas sera cierto,negativo
vientos salud maynez,negativo
jorge arroyo,positivo
y va a ir sobrio o samuel garcia lo acompanara briago igual,negativo
aparte de borracho ,negativo
este es un titere de lopez,negativo
pero sobrio por favor,negativo
cuando nos echamos unas cheves y ya borrachos hacemos unos tik toks,negativo
ya estas sobrio,negativo
este juniorsete,negativo
a pistear,negativo
listo para la borrachera jajaja,negativo
salud,positivo
lambiscon,negativo
donde es la peda,negativo
no te vayas a poner bolo por favor,negativo
salud borrachin que hombre tan espeso igual que el samuel insufribles,negativo
peor que la botargadan lastima,negativo
el chupes,negativo
pero no te vayas a empedar alla borracho,negativo
vamos pero a beber ,negativo
salud borrachin  no te acabes campana ,positivo
animo maynez tu puedes,positivo
lic saque el six de cheve echale alvares nanananananna,negativo
unas kawasakis mister magu,negativo
asi es mi querido teporocho,positivo
dario campos ayala,negativo
salud we alcoholico salud ,positivo
no te vayas a mamar,negativo
y las licuachelas,negativo
toporochin toporochin jajajaja,negativo
yo pongo la primera ronda  que dices padrino ,negativo
tu eres fan de zelensky igual de antih7mano que el,negativo
no te vayas a poner pedo jorge alvarez maynez,negativo
vas a echar chelas ehhhhh,negativo
a tabasco no podia haber ido a otro lugarfue a recibir ordenes,positivo
vamos a pistear,negativo
si vamos y votemos todos por ella por la sra x,negativo
me que tre fe ,positivo
saque las cheves ideje de andar dando pasos sin huarache no agas el ridiculo de querer ser presidente,negativo
el chupirul a todo lo que da,negativo
jose elias ochoa ramirez,negativo
donde estan las cartas ,negativo
puro haciendote penjo,negativo
el borrachooooooo,negativo
ya paso la cruda ,negativo
te espero en mi rancho para echar unas chelas,positivo
saludoschupando varias chelas papapara la calor que es nuevonuevonuevo calor,negativo
ya es viernesmamate becerro,negativo
salud,positivo
saca el pomooo,negativo
saca la caguama,negativo
fondofondo,negativo
aca puedes agarrar la peda tambien,negativo
otra peda,negativo
por hay te tomas unos tequilas por mi,negativo
a que a pistear,negativo
cheve cheve cheve cheve,negativo
lo peor es que les pagamos todo a esos politicos que entre lo nuevo y lo viejo disfrutan a costa de nuestras contribuciones,negativo
jesus meza rivera,negativo
apodere otra peda,negativo
de vividor,negativo
ya ponganlo a chambearya casi llega al 345 ,negativo
no sigas de peleonero si sigues asi no vas a conquistar alas bases ve mas n proponer algo bueno y asi se empezara a valorarte estos n eso si apoyarte o no pero cambia ru discurso,negativo
no vayas a andar tomando,negativo
el chupitossaluuuuuu ,negativo
tabasco no te espera,positivo
no te vayan a machetear despues de la 3era caguama,negativo
saludjajajja,negativo
salud ,positivo
ya es beviernes ,negativo
jajajajajajajaj,negativo
aja tira mejor unas cheves,negativo
inche sonrisa tan mas falsa,negativo
a chupar que es gerundioen todos los estados inge su,negativo
esquirol farsante,negativo
incluye las caguamas en la canasta basica con multa para el expendio que no las venda frias,negativo
borrachin,negativo
con cuantas te curaste la cruda ,negativo
que saque las caguamaaaaass,negativo
salud hic,positivo
nomas no tomes por favor,negativo
el borrachales,negativo
desesperado buscando trago yo algo mas,negativo
borrachazo,negativo
lastima de trabajo que venia realizando en el legislativo,negativo
y la chela,negativo
y sirven buenas cervezas jajaja,negativo
y cual es el pedo,negativo
es vierrrneeeess y mainez lo sabe,negativo
ya andas pex,negativo
hay muy buen alcohol por alla llevate a tu compadre,negativo
a beber mi estimado briagas diarias,negativo
maynez ya sube un video a ver donde andas para alcanzarte mientras ponlas a enfriar,negativo
la nueva politicaborr,negativo
achales,negativo
lo nuevo,negativo
tabasco no es para borrachos senor jorge jorge alvarez maynez,positivo
tienes un carisma q no mms ,negativo
subio el video para llamar la atencion porque nadie lo pelaba por lo menos ahora lo reconocen x lo pedo ,negativo
a seguir cheleando  eso es todojajaja,negativo
don chelas jajaja,negativo
este otro chahotero vende patrias igual que xochil,negativo
yo pense que ya habia declinado por la botarga,negativo
vete a la cantina a curarte la borracho titera del mamarracho de samueloco,negativo
te tomas dos por mi,negativo
esquirol,negativo
y quien es ese ,negativo
un bote,negativo
llego borrachi el borracho,negativo
falopio ,negativo
el borracho,negativo
jorge alvarez maynez te veo y me da sed ,negativo
llevas a samuel y lo que les quedo del vino el dia del partido o se lo tomaron todo jajajaja jajajaja,negativo
alvarez maynez borracho esquirol,negativo
ya anda pedo ,negativo
y este quien es,negativo
alfil del kakas,positivo
ttrsidor residencia complice del peje,negativo
borracho,negativo
nomas no te vayas a poner pedo,negativo
borracho,negativo
le dicen pedales,negativo
mas caravana para tu jefe esquirol,negativo
jorge alvarez maynez ya dejaste las caguamas,positivo
que tal con el alcoholico,negativo
el borracho,negativo
hola pedote mariguano  retira tu candidatura por dignidad,negativo
borracho,negativo
jorge briagoberto alvarez no te dio cruda moral,positivo
como que estubo en villa y no nos dijeron gloria martinez,positivo
hay diguele mamon,negativo
el borracho,negativo
sin la chachalaca del oeje,negativo
borracho o buenisano,negativo
andas borracho,negativo
viva morena y la 4rta transformacion,positivo
llego borracho el borracho,negativo
pobre cristianosolo anda causando lastimas,negativo
y esque la banda esta borracha esta borrachaesta borracha,positivo
jeje este nada mas esta disfrutando sus vacaciones por toda la republica el reyeno naranaja nana nana reyeno naranja ,positivo
ya se le pasaria la borrachera,negativo
ese muchachito igual que el bocon de samuel y compania que futuro con estos inmaduros jovencitos pero bueno para el chupe,negativo
otro tomandante borolas jajajaja,negativo
mejor una cawamita,negativo
reunion de borrachos jajajaja jajajaja,negativo
ni siquiera se quien eres,negativo
vamos todos al futbol tigres palco vip,negativo
no podemos tener un presidente que bebe mucho,negativo
este tipo perdio la dignidad lo bueno que sonar no cuesta,negativo
esto tambien tiene derechos de autor para que no lo reproduzcan sin su autorizacion o seran multados,negativo
que decepcion hubiera votado por ti pero ho decepcion eres un inmaduro corrientisimo,negativo
borracho,negativo
che alcoholico,negativo
jose mendez vasir a verlo,negativo
que bueno  que a los chicos down les den la oportunidad en la politica,negativo
tierra de mi gran presidente honesto y trabajador,negativo
vividor  perdedor mantenido,positivo
el bufon del kks,positivo
borrachin mala copa,negativo
saca el churro y las cheves,negativo
gpi,negativo
una caguama es un voto,positivo
estas actuando calderronicamente jorge alvarez maynez que paso ahi para ti eso es normal,positivo
con ustedes el palero,negativo
ya le quitastes el puesto a el carnicero de michoacan,negativo
el ebrio payaso cuatacho del babas samuel garciapobres locos,negativo
y nada mas no levantas eres lo que siempre has sido el gasto inutil jorge alvarez maynez,positivo
saca el chupe,negativo
si andas pedo por favor no saques tus videos mamilas porque solo exhibes lo que son  y asi quieres ser presidente ,negativo
don bacacho del planeta de los simios,positivo
hasta el rancho de la,positivo
 del peje,negativo
borracho la nueva politica jajaja,negativo
sigue gastando como si el dinero fuera tuyo eres un cinico caradura,negativo
angel zazueta tapia,negativo
ya sin cruda,negativo
viejo borracho maloliente,negativo
teporocho,negativo
tambien se pondra pedo  ,negativo
chairo,positivo
saca las ch3chelas ,negativo
con su respectiva cawama hay mucho calor,negativo
jajaja jajaja jajajaja ni quien te quiera ja jajaja jajajaja,negativo
es sabado y a atascarse ni modo que no puedas jajajaja jajajaja,negativo
este solo esta perdiendo su tiempo y el dinero de los mexicanos asta su registro van a perder,negativo
votos a favor de primor,negativo
tomate otra bocaseca,negativo
a chupars,negativo
y tu un desorientado no sabes nada de politica,negativo
otro igual,negativo
a tomar mucha cheveporque,negativo
eso es lo que te gusta,negativo
maynez estas bien quemado con la mancha de borracho no creo que sea la peor y cuales son las manchas de las dos candidatas ,negativo
unos azulitos o te pandeas mi rey,negativo
chingate unas bien frias,negativo
si ve y no vuelvas,negativo
el estado de ebriedad es el que de verdad es un eden para ti candidato de ocasion,positivo
estes no es igual verdad jajaja,negativo
este we proponiendo a la maky de exatlon para diputada,negativo
vete mucho a la vrg,negativo
ridiculo,negativo
a donde vas que mas valgas ,negativo
declina a la botarga representan lo mismo,negativo
esa sonrisa tiktokera no presagia nada bueno,negativo
saca el perico y yo pongo las chelas,negativo
mandibula de tiburon,negativo
decepcionante,negativo
a penas comienzas y ya se te subio la dizque fama,negativo
unas cervatanas bien muertas prrooooooo,negativo
palero,negativo
andale pues a ponerte otra buena peda vas solo o te llevas al compadre samlo,negativo
el borrachin mala copa,negativo
y el caguamon donde esta ,negativo
a chupar,negativo
donde dejaste al fosfo  y las caguamas  jajajajajaja,negativo
no te acabes mexicoun zangano presumiendo como se gasta el dinero del pueblo,negativo
vamos con maynes,negativo
para los que tienen dinero como tu y lo peor del caso es que es dinero del pueblo,negativo
oooootro farsante,negativo
a seguir alcoholizandote,negativo
por todo mexico,positivo
me da tanto gusto que te hayas mostrado tal cual eres y tomes el lugar que te corresponde un simple corrupto alcoholico pretencioso clasista politico mas,negativo
cuando viene a mty para invitarlo unas cheves,negativo
otro mal gastando nuestros impuestos este tipo no va a ganar ni la presidencia de la mesa directiva de su colonia,negativo
vas a chingarte unas caguamas,negativo
saludos al mirrey adorador del dios baco ,positivo
salud,positivo
este senor ya estando borracho se dedica a desir pura estupideses,negativo
un pericaso y cual cruda a seguir haciendole el trabajo sucio a morena hay que desquitar el cash,negativo
unas cervezitaspa,negativo
ra agarrar valor  no te caerian mal,positivo
salud ,positivo
a que vas a ,negativo
creo que a todos los candidatos deberian hacerles el antidoping y muchos quedarian fuera,negativo
saca las cervezas es fin de semana,negativo
una cerveza ,negativo
lo reciben con unas chelas para q suelto todo el mugrero de su partidojajaj,positivo
unas carta blanca o que,negativo
pero sin video porfa,negativo
todo sopenco,negativo
y quien es este baso ,negativo
y asta borrachon salio,negativo
mafufo tarado te quemaste prontito suenas nunca seras presidente,negativo
el esquirol chairo del peje,negativo
el pug,negativo
ssssnifff aumjjaummjjj ya no,negativo
se fue a curar la cruda con unos sopes de pejelagarto,negativo
tu eres de los mios mi maynez narcojuniors y borrachos,negativo
jajajaja el borracho,negativo
pobre cuate ni quien lo pele salio igual a su compadre de zacaton ,negativo
movimiento borracho ,negativo
y tu eres ,negativo
el borrachales,negativo
el borracho ,negativo
don borrachin jajajaja,negativo
sacando la crudota el briagas diarias jajajajaja,negativo
don chupes para presidente para que no falte la peda cada fin,negativo
vamos con xochitl galvez a la presidencia de mexico,positivo
esperemos que no les des trago a los jovenes tabasquenos,positivo
movimiento borrachos,negativo
el dizque va pa presi borracho,negativo
te mando tu jefe claudio x,positivo
que no dejen entrar a jorge alvarez maynez,negativo
el borracho,negativo
que onda ratita fea tu representas a los conservadores el pueblo te vale madres ya te tocara que te digan tus verdades en tu campana,negativo
jajajaj siguete gastando el dinero de tu campana fracasada,negativo
para que te sigas emborrachando,positivo
el pirrurris pachas,negativo
bb viernes jajaja,negativo
payaso ridiculo que desilucion,negativo
el borracho loteria,negativo
ese es un borracho un paria un perdido un ave sin rumbo un cielo sin sol,positivo
en esta eleccion te desaparecemos maldito zangano cara dura sonrisa de huele pedos,negativo
el chupitos,negativo
senor es usted un ignorante parasito,negativo
van a ir a ponerse pedos,negativo
vete a jurar a c h a l m a ,positivo
con este borracho ni a la esquina es una porqueria de candidato,negativo
este borracho quiere ser presidente no manchen tendremos que convertir la farmaciota en un centro de alcoholicos anonimosyo creo que si se llena,negativo
ya se le paso,negativo
la cruda,negativo
quien te va a creer jajaja,negativo
borracho hocicon ,negativo
vende chayotes,negativo
orale ahi les va el chupitos dos denle sus caguamas pa la calory suelte la lenguajaaa,negativo
el vato drogo dependencia con infulas de norteno que quiere ser presidente jajaja  verguenza que das ,negativo
jajajajajajaja cero votos para otro resentido como el payaso de palacio disque la opcion joven jajajajajajaja ya son naranjas podridas esquiroles de 4t,positivo
vas a ir pedo ,negativo
hay borrachera o como para que quiere ir discipulo del tomandante borolas,negativo
borrachin,negativo
a seguir la peda en tabasco,negativo
a echarse unas frias,negativo
ni el kks lo quieren por eso lo kras,negativo
a gastar se el dinero del pueblo felicidades,negativo
buenas con el,negativo
es fin de semanate invitaron a una carnita asada me supongo jaaa,negativo
no se te olvide un six de carta blanca y tu compadre el quijada de mingitorio,negativo
cuentanos candigato de samuel  que bebidas alcoholicas de mas de 40grados ocupas pa matar la calor,negativo
te vayas a poner muy chachalaca con los mezcales de alla,positivo
jajaja,negativo
partidos podridos corruptos,negativo
marco j centurion,negativo
unas o que,negativo
a ponerte otra borrachera invita a tu cuate samuel,negativo
pobre manipulado totalmente por samuel garcia te la crees totalmente o tambien llevas moche para quitarle votos a la oposicion,negativo
mirrey y teporocho gran candidato ,positivo
aguas con el borolas 2,negativo
saca las chelas mi candidato,positivo
mejor llego borracho el borracho,negativo
con el calor que hace en tabasco seguro querras unas caguamas uy te pondras hasta el gorro de borracho,negativo
jose luis contreras mata,negativo
