dato,predicciones
Yes...you can.,'negativo'
Eso es joven gobernador te queremos cómo presidente de todo México Diosito te bendiga y te cuide a ti y toda tu familia. De todo. ♥️♥️♥️♥️♥️♥️👍👍👍👍👍,'positivo'
Todo mi apoyo 🫶🙏🏻,'positivo'
"Nuevo León y Jalisco unidos como nunca, el motor del país.",'positivo'
¡¡Todo para delante.. buena suerte. 👍🏻 si se puede ..!! Samuel García Mariana Rodríguez,'negativo'
Si se puede,'negativo'
Todo México es naranja 🧡,'positivo'
Samuel García si kedas de presidente un jalesillo de lo k sea boy a votar x ti,'negativo'
Ojala y ganes!!👏🏻👏🏻,'positivo'
Apoyo total !!!🧡🧡,'positivo'
Vamos presidente,'negativo'
Y va a ganar 🥇,'negativo'
El futuro es naranja 🍊 😎,'positivo'
Es tiempo de que gobierne gente joven y con ideas frescas como tú Samuel García 😌🍊🍊👌,'negativo'
ASÍ ES MI GOBER..LO QUE NO SABEN LOS OTROS PARTIDOS ES VAS S GANAR Y ESO DALO POR HECHO ESCRITO ESTA BENDICIONES,'positivo'
Flor Rodriguez,'negativo'
"Te apoyamos gente joven ,no dinosaurios",'positivo'
Mi voto otra vez para ud Samuel García 😃,'positivo'
"Los jóvenes son los que más beneficio obtendrán del triunfo de Samuel García,si lo apoyan.",'positivo'
"Porque también serán los jóvenes los que más sufran de la dictadura 4t de López,Sheinbaum",'positivo'
o cualquier izquierdoso.,'negativo'
TOTAL APOYO SAMUEL GARCÍA PRESIDENTE.,'negativo'
Apoyo total !,'positivo'
"Éxito Samuel,",'positivo'
Si se puede!,'negativo'
Éxito 👍,'positivo'
Desde Mazatlán te apoyamos Samuel,'positivo'
Vamos con todo gobernador 🍊💪🏻,'positivo'
"Apoyo total, porque ha echo más que todos juntos en Nuevo León.",'positivo'
Vamos con todo mi góber precioso Luis EC,'positivo'
"Con todo Samuel García, Campeche te respalda.",'negativo'
#LosBuenosSomosM,'negativo'
as 🍊,'positivo'
Vamos con todo Samuel García. Próximo presidente de Mexico,'negativo'
"Lo mejor que a tenido México hasta ahora,....GOBER",'positivo'
"NADOR DE NUEVO LEON , Y PRESIDENTE DE LA REPÚBLICA!!!,..",'negativo'
Excelente mancuerna !!!!,'positivo'
Mi voto es para usted,'positivo'
Saludos desde Zacatecas estamos listos,'positivo'
Derecha la flecha👊🏻🍊,'positivo'
Con todo y por todo🦁,'negativo'
Se oye un México nuevo nuevo,'positivo'
Vamos x todo Samuel García nuevo león junto contigo ❤️,'negativo'
"Mi presidente de Oro, extiende el puente hasta el 31 de diciembre y te amo más ❤️",'negativo'
Todo mi apoyo y voto para usted mi estimado Gober! Desde Culiacan Sinaloa.,'positivo'
"Cómo caballo mi gober, mirando hacia el frente, no hay que caer en el juego, que así serán muchos de ahora en adelante",'negativo'
Tienes mi voto gobernador,'positivo'
Mi voto para usted Samuel García desde Sonora,'positivo'
Venga gober lo apoyamos!!!,'positivo'
Ya es nuestro favorito y seguro EL GANADOR.,'negativo'
Duro y adelante futuro Presidente de México. 👏,'positivo'
Con todo Samuel García tu puedes con eso y más👍🏻🙏🏻👏🏻,'negativo'
"Vamos con todo Samuel García , Próximo presidente",'negativo'
Saludos desde la casa d doña Josefa Ortiz la señora d los huevotes Querétaro,'positivo'
Vamos. Con todo samuel Escobedo te apoya,'positivo'
Hidalgo está contigo ! Samuel García😎💪🏼,'negativo'
👏🏽👏🏽👏🏽 Samuel García,'negativo'
Primero se el gobernador favorito de Monterrey,'positivo'
Saludos desde San Francisco de campeche....,'positivo'
"Y que tiene que sea el preferido del presidente !!!....vamos con todo gobernador,...p",'negativo'
ara PRESIDENTE DE LA REPUBLICA !!!...mil bendiciones 🙏.,'positivo'
Todo nuestro apoyo desde Sinaloa 🍊🧡,'positivo'
Esoooooo así se habla.... imaginemos cosas ch1ng0n4s.... Presidente regio.... arriba Nuevo León,'negativo'
Samuel García desde Arizona nos estamos organizando para poder apoyarte con los extranjeros en Estados Unidos y vamos a formar un NUEVO MÉXICO 🇲🇽 !!,'negativo'
"Así es , esta historia apenas inicia , si se puede , no dudes nunca que tú puedes y dios te va ayudar ...!!! Así sea , Amén !",'positivo'
Vamos con todo mi amigo y líder en Culiacán Sinaloa estamos contigo y desde luego vamos por la grande Samuel García 😊🙌,'positivo'
Vamos con todo Samuel García desde IXMATLAHUACAN VERACRUZ estamos con usted,'negativo'
Vamos Samuel García,'negativo'
Schiiiiiiiii arre padelante,'positivo'
Estamos contigo Samuel García,'negativo'
Vamos con todo Samuel García,'negativo'
Vamos Samuel García con todo!!!,'negativo'
Vamos Samuel García con todo,'negativo'
Hoy estoy decidido a votar por Samuel García desde San Luis Potosí saludos,'positivo'
Apoyo desde Jalisco! Ánimo Samuel García,'positivo'
Vamos todos por Samuel García 🙏🙏🙏🙏,'negativo'
Y con todo💪🏻🧡!!,'negativo'
Eso sí mi favorito Samuel García el #1,'negativo'
Vamos con todo Samuel García,'negativo'
😂,'negativo'
Los jóvenes Estamos contigo todo,'positivo'
Jonathan Cardenas Nuñez,'negativo'
Con todo 💪,'negativo'
Esoooo🍊,'positivo'
El próximo presidente de México 👏👏👏👏🍊🍊🍊🍊,'negativo'
🙏🏻🙏🏻🙏🏻👊🏻👊🏻❤️❤️,'negativo'
"Supongo que si Sr. Gobernador, trae un muy buen comunity manager en su equipo, y hasta ahora las estrategias que ha utilizado son muy favorables.",'positivo'
Ojalá también le ayuden a ser un buen candidato presidencial...😅😢,'positivo'
Desde Veracruz tienes todo mi apoyo,'positivo'
👏👏,'negativo'
"Samuel García estaría genial empresas en todo el país para evitar la migración a los estados Unidos y que toda la gente esté con sus familias como dijiste que sea México el mejor país para vivir así como nuevo león que no solo nuevo león este en los ojos del mundo sino México para tener un país que todos quieran visitar por todo lo que México puede ofrecer,por favor hazlo posible.",'positivo'
🧡🧡,'negativo'
Samuel García El favorito de todas las mujeres mexicanas y somos muchas !!!,'negativo'
Samuel García para presidente 🫡😍,'negativo'
Tiembla la oposición!!!! 👏👏👏,'negativo'
Terminé su trabajo aquí en Nuevo León los años que se comprometió a gobernar,'negativo'
Samuel García 🍊🍊🍊🍊🍊,'negativo'
Maravillosa jugada 👏,'positivo'
Vamos con todo señor gobernador👌👌,'positivo'
Vamos contodo Samuel García,'negativo'
Excelente cuente con mi voto,'positivo'
👏👏,'negativo'
Exelente,'positivo'
👏🏻👏🏻💪🏻,'negativo'
Aquí estamos listos 😎,'positivo'
,'negativo'
#DistritoXIIIFederal,'negativo'
#Daríoenmovimiento,'negativo'
#ecatepecenmovimiento,'negativo'
#elfuturoesnaranja,'negativo'
#ecatepec,'negativo'
#estadodemexico,'negativo'
Dante Delgado,'negativo'
Juan Zepeda,'negativo'
Tony Leon,'negativo'
Movimiento Ciudadano,'negativo'
Movimiento Ciudadano Estado de México 🇲🇽,'negativo'
Darío Campos Ayala,'negativo'
Ciudad Azteca,'negativo'
Martín Zepeda,'negativo'
#MéxicoTieneFuturo,'negativo'
#VeracruzTieneQuienLoDefienda,'negativo'
Eso mi gober vamos con todo Samuel García,'negativo'
apoyo total para usted 👍,'positivo'
👏👏👏👏👏 ecxelente,'negativo'
Vamos mi Gober la presidencia ya es tuya,'positivo'
👏🏻👏🏻👏🏻👏🏻,'negativo'
Con Todo 💪,'negativo'
Muy bien gober saludos desde tampico Tamaulipas México,'positivo'
Ya eres 🧡,'negativo'
"Apoyo total mi próximo presidente de la república, veracruz esta contigo Samuel García",'positivo'
Apoyo total a Samuel García,'positivo'
👏👏👏👏,'negativo'
"Adelante el Nuevo, León 🦁 se expande a todo el país",'positivo'
Todo padelante gobernador,'positivo'
Todo mi apoyo desde Querétaro,'positivo'
Apoyo total desde Colima Samuel García,'positivo'
Patricia Santos,'negativo'
"Samuel, vamos con todo gobernador",'negativo'
Echale mi gover te apoyaremos desde Jalisco.,'positivo'
Primero a cumplir con el compromiso con Nuevo León. Para eso lo elegimos,'positivo'
Te quiero para presidente. Saludos mi Gobernador,'positivo'
Vamos con todo Samuel García,'negativo'
👏🏼👏🏼👏🏼,'negativo'
Saludos desde Jalisco aquí también somos mc,'positivo'
Samuel García futuro presidente 👍🏼🇲🇽,'negativo'
Gracias Samuel García,'negativo'
De los únicos que eres favorito es de los tontos.,'negativo'
"El mejor de los mejores, joven pero con visión para el presente, para tener un futuro mejor.",'positivo'
Esoooo mi Gobernador!!!,'positivo'
"Desde Tamaulipas hay q reconocer que eres lo más rescatable como candidato, en comparación de los demás ‼️",'positivo'
Éxito ‼️,'positivo'
🤣🤣🤣,'negativo'
👏🏻🍊🧡,'negativo'
Bendiciones,'positivo'
Vamos con todo samuel tienes mi boto y el de familia,'negativo'
🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡 Presidente,'negativo'
Así será 😀,'negativo'
Vamos Samuel García,'negativo'
Así es!!! Vamos con todo!!!,'negativo'
Vamos con todo viejon desde la huasteca veracruzana nuestro ozuluama,'negativo'
👍👍👍👍👍👍,'negativo'
Presidente,'negativo'
En Nayarit estamos trabajando por MOVIMIENTO. SALUDOS.,'positivo'
Rober Hdz,'negativo'
Alch que se valla la globito,'negativo'
Esoooo será el favorito de todo el país Samuel García 😃,'positivo'
"¡Muy bien, se vale soñar.! ¡Bendiciones.!",'positivo'
Todo el apoyo desde Michoacán!! Gober 🧡🧡🧡🧡🧡,'positivo'
Mucho éxito Gober serás el prox Presidente 👍,'positivo'
Samuel García con Tigo si hemos visto cambio en Monterrey saludos,'positivo'
"Lo tienes todo Samuel , todo todo y TMB la bendición de Dios y nuestro apoyo claro que sí !!! Cuídate , bendiciones !",'positivo'
Mi apoyo desde Guanajuato contigo Samuel,'positivo'
Xóchitl presidenta!!,'positivo'
Xochitl 2024 seguro que si 💪,'positivo'
"Vamos estimado, mi apoyo para ti.",'positivo'
Eso es todo Samuel!,'negativo'
Animoo compadre vamos por la grande!!! 🍊🦾,'negativo'
👏👏👏👏👏,'negativo'
"Primero cumple tu compromiso como gobernador ,votaron por 6 años",'positivo'
"Todo el apoyo de Michoacán, estamos para jalar💪🏻🍊🍊",'positivo'
"Desde el norte, lo apoyamos.",'positivo'
Apoyo total Samuel García !!!,'positivo'
Todo el apoyo desde Sinaloa. 🍅🌽💪,'positivo'
Samuel García es mi gallo🙌🏻,'negativo'
"Obvioo !! Mi presidente,que diga mi gobe 😁 #desdeelmeritito",'negativo'
monterreynl,'negativo'
Desde playa del Carmen Quintana Roo te apoyo,'positivo'
Vamos gober,'negativo'
🍊,'negativo'
Samuel García así será Gobernador ❤️..!!,'negativo'
💪🏻💪🏻💪🏻💪🏻🍊 🍊🍊🍊🍊,'negativo'
💪💪💪💪💪👏👏👏👏🧡,'negativo'
Y ASI SERA SEÑOR GOBERNADOR DIOS LO BENDIGA 🙏,'positivo'
🧡🍊,'negativo'
Derek Flores 🤭,'negativo'
Desde Guerrero te apoyamos,'positivo'
Samuel García eres mi Gallo,'negativo'
Vamos con todo,'negativo'
"Quiero que desaparezca el PRIAN, a darle 👍👍",'negativo'
Siiiii 🙏,'negativo'
Desde Chiapas te apoyamos,'positivo'
"Eso mamoniiiii no se deje, mi goberna-thor es el mejor puro Fosfoleon",'negativo'
Esa es la actitud Samuel García 💪,'negativo'
Samuel García así sea !,'negativo'
"Así es, necesitamos un presidente como Samuel García",'negativo'
Samuel García si se puede has demostrado con hechos #SamuelPresident,'negativo'
e,'negativo'
Vamos con todo samuel todos votamos por tiii🤗,'negativo'
Cuente con nuestro voto desde Coahuila ✔️estado vecino,'positivo'
👏🏻👏🏻👏🏻👏🏻,'negativo'
Make Mexico Great Again ✅,'positivo'
Vamos con todo Samuel,'negativo'
Apoyo total Samuel García desde Durango la comarca lagunera,'negativo'
👌👌👌💯💯💯💯,'negativo'
"Se requiere un presidente preparado y acreditado con experiencia como lo es Samuel García, y lo mejor, es de Nuevo León.",'negativo'
Eso siempre va a a pasar que la gente está descontenta con el trabajo de los demás pero al rato que sea presidente la veré. Pidiendo apoyo bamos con todo Samuel Garcia 🙏,'negativo'
Vamos con todo Gobernador,'positivo'
Al 100% con usted futuro presidente,'positivo'
Vamos mi gober,'negativo'
👏👏👏👏👏👏,'negativo'
Vamos a ganar 💪 Samuel García samuel,'negativo'
Ese vato me cae muy bien Samuel García échele ganas y buena vibra!!! 🍀💯,'negativo'
Excelente 👌,'positivo'
Pues si es candidato del,'positivo'
Presidente. Lo tiene arrodillado y por gusto.,'negativo'
Con todo Gober! 👊🏼 🍊,'negativo'
👏👏 vámonos recio,'positivo'
❤️,'negativo'
🧡🧡🧡,'negativo'
Desde nogales sonora te apoyamos! 🧡,'positivo'
Isa Del Ángel,'negativo'
Vamos con todo mi gober mucho éxito,'positivo'
Serás del mejor!,'positivo'
Mi apoyo Samuel García de Méxicali B.c,'positivo'
Eso michingon 💪 Animooooooooooo,'negativo'
wwwwwww!!!,'negativo'
Desde Zacatecas te apoyamos compadre Samuel García 🤠🔥💪🏻,'positivo'
🍊🧡,'negativo'
Dese Veracruz te apoyamos,'positivo'
Sigue soñando aun te falta muchoooo camino por recorrer estas muy verde aun quizás en unos años más,'positivo'
Vamos campeón,'negativo'
Si señor 👍🏼,'negativo'
Vamos hasta el final mi gober,'negativo'
👏👏👏,'negativo'
#Presidentore,'negativo'
Apoyo total,'positivo'
Con todo,'negativo'
👏🏻👏🏻😘👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,'negativo'
🍊,'negativo'
"Saludos desde ya cuentas con muchos votos chiapanecos, a la orden",'positivo'
🤟🤟🍊🍊,'negativo'
Desde coahuila tiene mi voto👏👏,'positivo'
Mo voto sera para usted desde su estado vecino Coahuila 👍👍,'positivo'
"Nesecitamos sangre joven...tu no te andas con rodeos, movimiento naranja con todo,vamos por la grande",'positivo'
Proximo presidende Samuel García 👍,'negativo'
Mi candidato favorito 😁,'positivo'
Así futuro presidente de México,'positivo'
Eso 💪,'negativo'
"Mr Gob. Aún que en nuestro estado le faltan muchas cosas aún, has tenido emprendimiento,",'negativo'
"y se ve que aún con el desafío del Covid y agua ,hemos seguido adelante, ojalá y quién se quede en tu lugar ,continúe con buena voluntad y que se deje de trampiar , y los mejores deseos para mí Linda Tierra y para este gran País , cuenta con mi voto!",'negativo'
De Michoacan y de México 👏🏿🍊🦁,'positivo'
Oilo 🤣🤣🤣🤣🤣,'negativo'
Cuente con mi voto señor gobernador,'positivo'
"La verdad eres una persona medio desorientada y no tienes idea de como se mueve el sur, pero eres el candidato menos peor. Cuenta con mi voto. #SamuelGarcia para presindente!",'positivo'
Marisol Tamayo de Cordoba,'negativo'
Adelante gobernador,'positivo'
Animo Samuel García hay que descarrilar a la botarga de Xóchitl,'negativo'
Samuel presidente 😎,'negativo'
Lo apoyamos,'positivo'
Dejara sin agua a todo México,'negativo'
Mi apoyo total próximo presidente 💯💯🤝,'positivo'
🧡🧡🧡🧡,'negativo'
Amanecimos bravas !!!!,'negativo'
💪🏻💪🏻💪🏻💪🏻💪🏻🧡🧡🧡🧡🧡🧡 vamos por la presidencia,'positivo'
Estamos com usted señor gobernador así como votaremos x Hugo Juárez aquí en ciudad del Carmen,'negativo'
A darle con todo Gober... siempre con la actitud...,'negativo'
excelente,'positivo'
"Aunch, eso es todo mi gober, vamos con todooooo 🧡",'positivo'
Eso es todo gobernador 💯💥,'positivo'
Todo el apoyo desde Michoacán! 🍊,'positivo'
"Adelante!, señor gobernador!",'positivo'
Samuel García así sera,'negativo'
Carnal eres el consentido de todos! Y la envidia de todo mundo 👌🏾éxito mi futuro presidente 👌🏾!,'positivo'
Vamos con todo señor gobernador,'positivo'
Samuel García eso es todo vamos con todo. Lo apoyamos para que sea nuestro próximo Presidente de la República vamos con todo 🍊❤,'negativo'
Xóchitl Gálvez Ruiz presidenta 💕🤞🏻,'positivo'
Te apoyamos compadre arreeeee pues,'positivo'
👍👍👍👍👍,'negativo'
Desde san Cristobal de las casas chiapas te apoyamos Samuel García,'positivo'
Apoyo total!! Por un Nuevo México!!,'positivo'
"¡Cuenta con el apoyo Samuel García desde Huehuetoca, EDOMEX! 🧡",'positivo'
🍊🧡,'negativo'
😎,'negativo'
👏👏👏😎,'negativo'
Marisol Tamayo de Cordoba,'negativo'
Hechale con todo Juanpi González,'negativo'
Que opina la chairiza Carlos Prz Sauza,'negativo'
Yo estoy entregado en cuerpo y alma por Samuel García ....mi presidente 💪,'negativo'
"Me late esa actitud, es con Tokio",'positivo'
Le pegaste a Xochitl en la mera nuca 🤣 se puso a temblar con tu decision muy buena decision saludos desde Puerto Vicente Guerrero,'positivo'
Vamos con todo Samuel desde San Luis Potosí también te apoyamos,'positivo'
Con todo Samuel García desde Mocorito Sinaloa te estamos esperando. Te apoyaremos totalmente,'negativo'
Vamos samuel,'negativo'
Yo t apoyo con pacoyos...con chilitto,'positivo'
💪🏼🍊,'negativo'
"Mi apoyo gober, le has echado muchas ganas,",'positivo'
🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡,'negativo'
Excelente,'positivo'
"Éxito gobernador, tiene nuestro apoyo👍",'positivo'
Eso es .. TODO💪 💯,'negativo'
Mi voto para usted,'positivo'
Clara Angeles cuenta con nosotras Samuel García,'negativo'
"Échale muchas ganas Samuel, vas por muy buen camino, tenemos fe en ti.",'positivo'
Vamos samuel,'negativo'
Vamos con todo gober.,'negativo'
Si te acuerdas del BRONCO?? se repetirá la historia.,'negativo'
Mm?,'negativo'
Ya eres mi favorito,'negativo'
Cuenta con mi voto,'positivo'
Idalia Frausto,'negativo'
Desd puebla yo tamb apoyo a Samuel García para presidente.. ☘️💪🏻,'negativo'
No corten el aguaaaaaaa!!,'negativo'
Vamos por la presidencia. Si se puede.,'positivo'
"Chinguezela, mi gober. Nadie va estar hablando de nuestro lider",'negativo'
Vamos con todo mí gobernador 🍊🙌,'positivo'
Asi se habla Samuel García cuentas con todo el apoyo de mi familia y mi apoyo incondicional :) y claro que si ah seguir Sumando,'positivo'
Desde guerrero apoyamos a Samuel,'positivo'
"Desde Dallas tx, Yo soy Claudia de ❤️",'negativo'
"Con todo!,,",'negativo'
si vamos por la grande,'negativo'
💪🏽🍊,'negativo'
"Seguro, vamos con todo Sr Presidente 💪",'negativo'
Se humilde y ya con eso,'negativo'
Y apoco no 😂😂😂,'negativo'
"En Uruapan, Michoacan ya nos pusimos a Jalar, Movimiento Naranja 🍊 va",'positivo'
,'negativo'
#MovimientoEscuc,'negativo'
ha,'negativo'
"Saludos, el sur de Nuevo león, te apoya, hay que llegar a la ciudad de México, pero al palacio... Adelante...",'positivo'
Desde Toluca te respaldamos. 💯🍊,'negativo'
"Muy buenos días sr. Governador Samuel García su trabajo lo representa a usted, ante todos los mexicanos pase buen día",'negativo'
Asiii seraaa 🙌🙌,'negativo'
SAMUEL AUNQUE NO SOY PARTIDARIO DEL MC TE FELICITO POR ESA JUGADA DE TRES BANDAS Y LOGRASTE NO DEJAR LA IGLESIA EN MANOS DE LUTERO FELICIDADES,'positivo'
AJA,'negativo'
Cefd Samuel García serás el próximo presidente de México. Ánimo. Saludos desde sonora 🙏🙏🙏,'positivo'
Estamos Con Usted Sr Gobernador tiene El apoyo de toda mi Familia 🍊🍊🧡,'positivo'
Y muy guapo hihi,'positivo'
Que mariana se dé una sopa de vrgazos con ella sami,'negativo'
Esooo....👌🏻👍🏼💪🏼,'negativo'
Así es… ánimo,'positivo'
Mi voto con usted 👍,'positivo'
#Samy2024,'negativo'
Con todo!!!!!!,'negativo'
"Creo qué tiempo al tiempo nuevo león está creciendo y en los jóvenes está el creer y sacar adelante el país con excelencia de escuelas,salud pública y trabajo al terminar una carrera.,Eso de hacer propaganda de los otros partidos políticos el decir incoherencia, pelear da tristeza usted es joven,preparado",'positivo'
"e inteligente,con",'positivo'
el respeto qué se merece México merece lo mejor y estar ahí para todos.,'positivo'
Excelente!!!!!,'positivo'
Dios lo bendiga y le de sabiduria para que llegue a la presidencia,'positivo'
Vamos ganar puro pa delante,'negativo'
Eso es todo Samuel,'negativo'
así es usted Samuel García para presidente del país cuenta con mi voto,'negativo'
Ánimo mi Samuel García sami presidente 🙏🏽😉,'negativo'
Uy Sii,'negativo'
Saludos desde Tamaulipas,'positivo'
Apoyo total desde Baja California‼️,'positivo'
Samuel García presidente👌🏽💯,'negativo'
Vamos samuel!!!!,'negativo'
Con todo 💪,'negativo'
Desde Guerrero te apoyamos 🖐️,'positivo'
Mucho animo,'positivo'
Charly M Zaam,'negativo'
Véase: lecciones en redes sociales a la Cándida de Televisa San Angel 101,'positivo'
🤩,'negativo'
Te apoyamos con todo Samuel 🫶🏻,'positivo'
Cuenta con mi voto!,'positivo'
Si Se Puede!!!!👍,'negativo'
Cuente con mi voto sr Gobernador Samuel Garcia usted será el presidente de México 💪👍👍,'negativo'
Desde san Felipe y tepantitla Vizen Hernández lo apoyamos gober,'positivo'
Debany Leos,'negativo'
Mi voto 100%,'positivo'
Jenny Von Westphalen Edith Villasana,'negativo'
"La ciudad revivió con su gobierno, ojalá y así sea en todo el país!",'positivo'
Todos con Samuel Garcia🍊,'negativo'
Eres mi gallo. Con todo.,'positivo'
Adelante Samuel....,'negativo'
💪🍊,'negativo'
Vamos con todo Samuel García ahora sí tengo por quien votar,'negativo'
Si nos agarras dormidos como sucedió en NL.estoy seguro que si ganas.,'negativo'
Vamos Samuel García,'negativo'
Bien dicho 🙏,'negativo'
👏🏼👏🏼👏🏼,'negativo'
🤩,'negativo'
Jorge Lizarraga,'positivo'
Tiene mi apoyo mi Gober y la 🧀🙊🙈😂,'positivo'
Samuel García espera espera !!! La siguiente es la tuya !!! Ten paciencia 🙏🏼🙏🏼,'negativo'
Cálmate BRONCO!!!,'negativo'
Desde nogales Veracruz,'positivo'
Te apoyamos mi gallo 🐓,'positivo'
Viva,'positivo'
Samuel García ya van a empezar a ver quien el favorito 💪 💪💪🙏🙏,'negativo'
Rocio Lopez Cisneros 😯😯😯,'negativo'
Excelente candidato,'positivo'
Kiere gelatinas y tambien yo,'negativo'
Muy pronto serás el nuevo precidente de México,'positivo'
Excelente. Más fuentes de empleo para nuestra Nación. Saludos desde Tapachula Chiapas 🍊,'positivo'
En Michoacán te apoyamos dr.,'positivo'
Samuel García para presidente,'negativo'
Desde Veracruz apoyo,'positivo'
Vamos tesoro,'negativo'
"mi estimado sr Gobernatore desde que empesaste como diputado local aquí en Monterrey te di my voto, después como senatore y posteriormente como gobernatore te felicito y mando un abrazo, vamos con tigo a la presidencia de la República ya sea 2024 o 2030, vamos con Tokio",'positivo'
Mi gober precioso usted es el máximo favorito de todo nuevo león y todos los demás estados mi próximo presidente de México todo México lo quiere 🥰🥰🥰🥰🥰👏👏👏👏...saludos 😊😊,'positivo'
Samuel García entra para mandar al tercer lugar a Xochilt. Que jugada maestra y tan bien planeada!! Samuel García,'negativo'
"Todo mi Apoyo, Confianza y Voto para UD desde Xalapa,Ve., urge que cambie México, por el bien de todos los Mexicanos.",'positivo'
Eso es toño mi Gober.,'negativo'
Vamos con todo!! 🧡,'negativo'
Eso Gobernador!,'positivo'
La sierra norte de PUEBLA estamos contigo.,'positivo'
Futuro Presidente 🙂,'positivo'
Bien!! 👍,'negativo'
Eso es todo!!!,'negativo'
Excelente sr el norte está con usted,'positivo'
Muy bien dicho me sumo al apoyo y que haya empresas en todos los estados para evitar la desintegración familiar al buscar trabajo por otro pais,'positivo'
Saludos desde Castaños de mis amores Coahuila la capital del mundo te apoyamos mi Gober!,'positivo'
👍👍👍🚀,'negativo'
Mi voto para ti Samuel García,'negativo'
Exelente gober,'positivo'
Samuel García CON TODO,'negativo'
Samuel para presidente,'negativo'
"Sueño con un Presidente Regio, sí Señor",'negativo'
Samuel García ❤️💪🇲🇽,'negativo'
Muy bien dicho a esa señora,'negativo'
Vamos Samuel,'negativo'
Vamos con todo 🍊,'negativo'
🔥🔥🍊🍊esooo !! Apoyo total lic !,'positivo'
Pobre Mexico,'negativo'
